Altitude and Azimuth of the Moon
N 48° 10', E 11° 30'
2026-05-18
Zone: 1.0 hours East of Greenwich
Time	Altitude	Azimuth (E of N)	Fraction Illuminated
03:05	-12.0°	22.8°	0.03
03:06	-11.9°	23.0°	0.03
03:07	-11.8°	23.2°	0.03
03:08	-11.8°	23.4°	0.03
03:09	-11.7°	23.6°	0.03
03:10	-11.7°	23.8°	0.03
03:11	-11.6°	24.0°	0.03
03:12	-11.5°	24.2°	0.03
03:13	-11.5°	24.4°	0.03
03:14	-11.4°	24.6°	0.03
03:15	-11.3°	24.8°	0.03
03:16	-11.3°	25.0°	0.03
03:17	-11.2°	25.2°	0.03
03:18	-11.1°	25.4°	0.03
03:19	-11.0°	25.6°	0.03
03:20	-11.0°	25.8°	0.03
03:21	-10.9°	26.0°	0.03
03:22	-10.8°	26.2°	0.03
03:23	-10.8°	26.4°	0.03
03:24	-10.7°	26.6°	0.03
03:25	-10.6°	26.9°	0.03
03:26	-10.5°	27.1°	0.03
03:27	-10.5°	27.3°	0.03
03:28	-10.4°	27.5°	0.03
03:29	-10.3°	27.7°	0.03
03:30	-10.3°	27.9°	0.03
03:31	-10.2°	28.1°	0.03
03:32	-10.1°	28.3°	0.03
03:33	-10.0°	28.5°	0.03
03:34	-9.9°	28.7°	0.03
03:35	-9.9°	28.9°	0.03
03:36	-9.8°	29.1°	0.03
03:37	-9.7°	29.3°	0.03
03:38	-9.6°	29.5°	0.03
03:39	-9.6°	29.7°	0.03
03:40	-9.5°	29.9°	0.03
03:41	-9.4°	30.0°	0.03
03:42	-9.3°	30.2°	0.03
03:43	-9.2°	30.4°	0.03
03:44	-9.2°	30.6°	0.03
03:45	-9.1°	30.8°	0.03
03:46	-9.0°	31.0°	0.03
03:47	-8.9°	31.2°	0.03
03:48	-8.8°	31.4°	0.03
03:49	-8.7°	31.6°	0.03
03:50	-8.7°	31.8°	0.03
03:51	-8.6°	32.0°	0.03
03:52	-8.5°	32.2°	0.03
03:53	-8.4°	32.4°	0.03
03:54	-8.3°	32.6°	0.03
03:55	-8.2°	32.8°	0.03
03:56	-8.1°	33.0°	0.03
03:57	-8.0°	33.2°	0.03
03:58	-8.0°	33.4°	0.03
03:59	-7.9°	33.6°	0.03
04:00	-7.8°	33.8°	0.03
04:01	-7.7°	34.0°	0.03
04:02	-7.6°	34.2°	0.03
04:03	-7.5°	34.3°	0.03
04:04	-7.4°	34.5°	0.03
04:05	-7.3°	34.7°	0.03
04:06	-7.2°	34.9°	0.03
04:07	-7.1°	35.1°	0.03
04:08	-7.1°	35.3°	0.03
04:09	-7.0°	35.5°	0.03
04:10	-6.9°	35.7°	0.03
04:11	-6.8°	35.9°	0.03
04:12	-6.7°	36.1°	0.03
04:13	-6.6°	36.3°	0.03
04:14	-6.5°	36.4°	0.03
04:15	-6.4°	36.6°	0.03
04:16	-6.3°	36.8°	0.03
04:17	-6.2°	37.0°	0.03
04:18	-6.1°	37.2°	0.03
04:19	-6.0°	37.4°	0.03
04:20	-5.9°	37.6°	0.03
04:21	-5.8°	37.8°	0.03
04:22	-5.7°	38.0°	0.03
04:23	-5.6°	38.1°	0.03
04:24	-5.5°	38.3°	0.03
04:25	-5.4°	38.5°	0.03
04:26	-5.3°	38.7°	0.03
04:27	-5.2°	38.9°	0.03
04:28	-5.1°	39.1°	0.03
04:29	-5.0°	39.3°	0.03
04:30	-4.9°	39.5°	0.03
04:31	-4.8°	39.6°	0.03
04:32	-4.7°	39.8°	0.03
04:33	-4.6°	40.0°	0.03
04:34	-4.5°	40.2°	0.03
04:35	-4.4°	40.4°	0.03
04:36	-4.3°	40.6°	0.03
04:37	-4.2°	40.7°	0.03
04:38	-4.1°	40.9°	0.03
04:39	-4.0°	41.1°	0.03
04:40	-3.9°	41.3°	0.03
04:41	-3.8°	41.5°	0.03
04:42	-3.7°	41.7°	0.03
04:43	-3.6°	41.8°	0.03
04:44	-3.4°	42.0°	0.03
04:45	-3.3°	42.2°	0.03
04:46	-3.2°	42.4°	0.03
04:47	-3.1°	42.6°	0.03
04:48	-3.0°	42.8°	0.03
04:49	-2.9°	42.9°	0.03
04:50	-2.8°	43.1°	0.03
04:51	-2.7°	43.3°	0.03
04:52	-2.6°	43.5°	0.03
04:53	-2.5°	43.7°	0.03
04:54	-2.4°	43.8°	0.03
04:55	-2.2°	44.0°	0.03
04:56	-2.1°	44.2°	0.03
04:57	-2.0°	44.4°	0.03
04:58	-1.9°	44.6°	0.03
04:59	-1.8°	44.7°	0.03
05:00	-1.7°	44.9°	0.03
05:01	-1.6°	45.1°	0.03
05:02	-1.5°	45.3°	0.03
05:03	-1.3°	45.5°	0.03
05:04	-1.2°	45.6°	0.03
05:05	-1.1°	45.8°	0.03
05:06	-1.0°	46.0°	0.03
05:07	-0.9°	46.2°	0.03
05:08	-0.8°	46.3°	0.03
05:09	-0.1°	46.5°	0.03
05:10	0.0°	46.7°	0.03
05:11	0.1°	46.9°	0.03
05:12	0.2°	47.0°	0.03
05:13	0.3°	47.2°	0.03
05:14	0.4°	47.4°	0.03
05:15	0.5°	47.6°	0.03
05:16	0.6°	47.8°	0.03
05:17	0.7°	47.9°	0.03
05:18	0.8°	48.1°	0.03
05:19	0.9°	48.3°	0.03
05:20	1.1°	48.5°	0.03
05:21	1.2°	48.6°	0.03
05:22	1.3°	48.8°	0.03
05:23	1.4°	49.0°	0.03
05:24	1.5°	49.1°	0.03
05:25	1.6°	49.3°	0.03
05:26	1.7°	49.5°	0.03
05:27	1.8°	49.7°	0.03
05:28	1.9°	49.8°	0.03
05:29	2.0°	50.0°	0.03
05:30	2.2°	50.2°	0.03
05:31	2.3°	50.4°	0.03
05:32	2.4°	50.5°	0.03
05:33	2.5°	50.7°	0.03
05:34	2.6°	50.9°	0.03
05:35	2.7°	51.0°	0.03
05:36	2.9°	51.2°	0.03
05:37	3.0°	51.4°	0.03
05:38	3.1°	51.6°	0.03
05:39	3.2°	51.7°	0.03
05:40	3.3°	51.9°	0.03
05:41	3.5°	52.1°	0.03
05:42	3.6°	52.2°	0.03
05:43	3.7°	52.4°	0.03
05:44	3.8°	52.6°	0.03
05:45	3.9°	52.7°	0.03
05:46	4.1°	52.9°	0.03
05:47	4.2°	53.1°	0.03
05:48	4.3°	53.3°	0.03
05:49	4.4°	53.4°	0.03
05:50	4.6°	53.6°	0.03
05:51	4.7°	53.8°	0.03
05:52	4.8°	53.9°	0.03
05:53	4.9°	54.1°	0.03
05:54	5.1°	54.3°	0.03
05:55	5.2°	54.4°	0.03
05:56	5.3°	54.6°	0.03
05:57	5.5°	54.8°	0.03
05:58	5.6°	54.9°	0.03
05:59	5.7°	55.1°	0.03
06:00	5.8°	55.3°	0.03
06:01	6.0°	55.4°	0.03
06:02	6.1°	55.6°	0.03
06:03	6.2°	55.8°	0.03
06:04	6.4°	55.9°	0.03
06:05	6.5°	56.1°	0.03
06:06	6.6°	56.3°	0.03
