Altitude and Azimuth of the Moon
N 48° 10', E 11° 30'
2026-03-17
Zone: 1.0 hours East of Greenwich
Time	Altitude	Azimuth (E of N)	Fraction Illuminated
04:37	-12.0°	94.5°	0.04
04:38	-11.8°	94.7°	0.04
04:39	-11.6°	94.8°	0.04
04:40	-11.5°	95.0°	0.04
04:41	-11.3°	95.2°	0.04
04:42	-11.2°	95.4°	0.04
04:43	-11.0°	95.5°	0.04
04:44	-10.8°	95.7°	0.04
04:45	-10.7°	95.9°	0.04
04:46	-10.5°	96.1°	0.04
04:47	-10.3°	96.2°	0.04
04:48	-10.2°	96.4°	0.04
04:49	-10.0°	96.6°	0.04
04:50	-9.9°	96.8°	0.04
04:51	-9.7°	96.9°	0.04
04:52	-9.5°	97.1°	0.04
04:53	-9.4°	97.3°	0.04
04:54	-9.2°	97.5°	0.04
04:55	-9.0°	97.6°	0.04
04:56	-8.9°	97.8°	0.04
04:57	-8.7°	98.0°	0.04
04:58	-8.5°	98.2°	0.04
04:59	-8.4°	98.3°	0.04
05:00	-8.2°	98.5°	0.04
05:01	-8.1°	98.7°	0.04
05:02	-7.9°	98.8°	0.04
05:03	-7.7°	99.0°	0.04
05:04	-7.6°	99.2°	0.04
05:05	-7.4°	99.4°	0.04
05:06	-7.3°	99.5°	0.04
05:07	-7.1°	99.7°	0.04
05:08	-6.9°	99.9°	0.04
05:09	-6.8°	100.1°	0.04
05:10	-6.6°	100.2°	0.04
05:11	-6.4°	100.4°	0.04
05:12	-6.3°	100.6°	0.04
05:13	-6.1°	100.8°	0.04
05:14	-6.0°	100.9°	0.04
05:15	-5.8°	101.1°	0.04
05:16	-5.6°	101.3°	0.04
05:17	-5.5°	101.5°	0.04
05:18	-5.3°	101.6°	0.04
05:19	-5.2°	101.8°	0.04
05:20	-5.0°	102.0°	0.04
05:21	-4.8°	102.2°	0.04
05:22	-4.7°	102.3°	0.04
05:23	-4.5°	102.5°	0.04
05:24	-4.3°	102.7°	0.04
05:25	-4.2°	102.9°	0.04
05:26	-4.0°	103.1°	0.04
05:27	-3.9°	103.2°	0.04
05:28	-3.7°	103.4°	0.04
05:29	-3.5°	103.6°	0.04
05:30	-3.4°	103.8°	0.04
05:31	-3.2°	103.9°	0.04
05:32	-3.1°	104.1°	0.04
05:33	-2.9°	104.3°	0.04
05:34	-2.7°	104.5°	0.04
05:35	-2.6°	104.6°	0.04
05:36	-2.4°	104.8°	0.04
05:37	-2.3°	105.0°	0.04
05:38	-2.1°	105.2°	0.04
05:39	-2.0°	105.3°	0.04
05:40	-1.8°	105.5°	0.04
05:41	-1.6°	105.7°	0.04
05:42	-1.5°	105.9°	0.04
05:43	-1.3°	106.1°	0.04
05:44	-1.2°	106.2°	0.04
05:45	-1.0°	106.4°	0.04
05:46	-0.8°	106.6°	0.04
05:47	-0.1°	106.8°	0.04
05:48	0.0°	106.9°	0.04
05:49	0.2°	107.1°	0.04
05:50	0.3°	107.3°	0.04
05:51	0.4°	107.5°	0.04
05:52	0.6°	107.7°	0.04
05:53	0.7°	107.8°	0.04
05:54	0.8°	108.0°	0.04
05:55	1.0°	108.2°	0.04
05:56	1.1°	108.4°	0.04
05:57	1.3°	108.6°	0.04
05:58	1.4°	108.7°	0.04
05:59	1.5°	108.9°	0.04
06:00	1.7°	109.1°	0.04
06:01	1.8°	109.3°	0.04
06:02	2.0°	109.4°	0.04
06:03	2.1°	109.6°	0.04
06:04	2.3°	109.8°	0.04
06:05	2.4°	110.0°	0.04
06:06	2.5°	110.2°	0.04
06:07	2.7°	110.4°	0.04
06:08	2.8°	110.5°	0.04
06:09	3.0°	110.7°	0.04
06:10	3.1°	110.9°	0.04
06:11	3.3°	111.1°	0.04
06:12	3.4°	111.3°	0.04
06:13	3.6°	111.4°	0.04
06:14	3.7°	111.6°	0.04
06:15	3.9°	111.8°	0.04
06:16	4.0°	112.0°	0.04
06:17	4.2°	112.2°	0.04
06:18	4.3°	112.4°	0.04
06:19	4.5°	112.5°	0.04
06:20	4.6°	112.7°	0.04
06:21	4.8°	112.9°	0.04
06:22	4.9°	113.1°	0.04
06:23	5.1°	113.3°	0.04
06:24	5.2°	113.5°	0.04
06:25	5.4°	113.6°	0.04
06:26	5.5°	113.8°	0.04
06:27	5.6°	114.0°	0.04
06:28	5.8°	114.2°	0.04
06:29	5.9°	114.4°	0.04
06:30	6.1°	114.6°	0.04
06:31	6.2°	114.8°	0.04
06:32	6.4°	114.9°	0.04
06:33	6.5°	115.1°	0.04
06:34	6.7°	115.3°	0.04
06:35	6.8°	115.5°	0.04
06:36	7.0°	115.7°	0.04
06:37	7.1°	115.9°	0.04
06:38	7.3°	116.1°	0.04
06:39	7.4°	116.3°	0.04
06:40	7.6°	116.4°	0.04
06:41	7.7°	116.6°	0.04
06:42	7.9°	116.8°	0.04
06:43	8.0°	117.0°	0.04
06:44	8.1°	117.2°	0.04
06:45	8.3°	117.4°	0.04
06:46	8.4°	117.6°	0.04
06:47	8.6°	117.8°	0.04
06:48	8.7°	118.0°	0.04
06:49	8.9°	118.2°	0.04
06:50	9.0°	118.3°	0.04
06:51	9.2°	118.5°	0.04
06:52	9.3°	118.7°	0.04
06:53	9.4°	118.9°	0.04
06:54	9.6°	119.1°	0.04
06:55	9.7°	119.3°	0.04
06:56	9.9°	119.5°	0.04
06:57	10.0°	119.7°	0.04
06:58	10.2°	119.9°	0.04
06:59	10.3°	120.1°	0.04
07:00	10.4°	120.3°	0.04
07:01	10.6°	120.5°	0.04
07:02	10.7°	120.7°	0.04
07:03	10.9°	120.9°	0.04
07:04	11.0°	121.1°	0.04
07:05	11.2°	121.2°	0.04
07:06	11.3°	121.4°	0.04
07:07	11.4°	121.6°	0.04
07:08	11.6°	121.8°	0.04
07:09	11.7°	122.0°	0.04
07:10	11.9°	122.2°	0.04
07:11	12.0°	122.4°	0.04
07:12	12.1°	122.6°	0.04
07:13	12.3°	122.8°	0.04
07:14	12.4°	123.0°	0.04
07:15	12.6°	123.2°	0.04
07:16	12.7°	123.4°	0.04
07:17	12.8°	123.6°	0.04
07:18	13.0°	123.8°	0.04
07:19	13.1°	124.0°	0.04
07:20	13.2°	124.2°	0.04
07:21	13.4°	124.4°	0.04
07:22	13.5°	124.6°	0.04
07:23	13.6°	124.8°	0.04
07:24	13.8°	125.0°	0.04
07:25	13.9°	125.2°	0.04
07:26	14.1°	125.4°	0.04
07:27	14.2°	125.6°	0.04
07:28	14.3°	125.8°	0.04
07:29	14.5°	126.0°	0.04
07:30	14.6°	126.2°	0.04
07:31	14.7°	126.5°	0.04
07:32	14.9°	126.7°	0.04
07:33	15.0°	126.9°	0.04
07:34	15.1°	127.1°	0.04
07:35	15.3°	127.3°	0.04
07:36	15.4°	127.5°	0.04
07:37	15.5°	127.7°	0.04
07:38	15.7°	127.9°	0.04
07:39	15.8°	128.1°	0.04
07:40	15.9°	128.3°	0.04
07:41	16.0°	128.5°	0.04
07:42	16.2°	128.7°	0.04
07:43	16.3°	128.9°	0.04
07:44	16.4°	129.2°	0.04
07:45	16.6°	129.4°	0.04
07:46	16.7°	129.6°	0.04
07:47	16.8°	129.8°	0.04
07:48	16.9°	130.0°	0.04
07:49	17.1°	130.2°	0.04
07:50	17.2°	130.4°	0.04
07:51	17.3°	130.6°	0.04
07:52	17.5°	130.8°	0.04
