Altitude and Azimuth of the Moon
N 48° 10', E 11° 30'
2026-03-26
Zone: 1.0 hours East of Greenwich
Time	Altitude	Azimuth (E of N)	Fraction Illuminated
00:00	24.8°	283.8°	0.52
00:01	24.7°	284.0°	0.52
00:02	24.5°	284.2°	0.52
00:03	24.4°	284.3°	0.52
00:04	24.2°	284.5°	0.52
00:05	24.0°	284.6°	0.52
00:06	23.9°	284.8°	0.52
00:07	23.7°	285.0°	0.52
00:08	23.6°	285.1°	0.52
00:09	23.4°	285.3°	0.52
00:10	23.3°	285.4°	0.52
00:11	23.1°	285.6°	0.52
00:12	23.0°	285.8°	0.52
00:13	22.8°	285.9°	0.52
00:14	22.6°	286.1°	0.52
00:15	22.5°	286.2°	0.52
00:16	22.3°	286.4°	0.52
00:17	22.2°	286.5°	0.52
00:18	22.0°	286.7°	0.52
00:19	21.9°	286.9°	0.52
00:20	21.7°	287.0°	0.52
00:21	21.6°	287.2°	0.52
00:22	21.4°	287.3°	0.52
00:23	21.3°	287.5°	0.52
00:24	21.1°	287.7°	0.52
00:25	20.9°	287.8°	0.52
00:26	20.8°	288.0°	0.52
00:27	20.6°	288.1°	0.52
00:28	20.5°	288.3°	0.52
00:29	20.3°	288.4°	0.52
00:30	20.2°	288.6°	0.52
00:31	20.0°	288.8°	0.52
00:32	19.9°	288.9°	0.52
00:33	19.7°	289.1°	0.52
00:34	19.6°	289.2°	0.52
00:35	19.4°	289.4°	0.52
00:36	19.3°	289.6°	0.52
00:37	19.1°	289.7°	0.52
00:38	19.0°	289.9°	0.52
00:39	18.8°	290.0°	0.52
00:40	18.7°	290.2°	0.52
00:41	18.5°	290.3°	0.52
00:42	18.4°	290.5°	0.52
00:43	18.2°	290.7°	0.52
00:44	18.1°	290.8°	0.52
00:45	17.9°	291.0°	0.52
00:46	17.8°	291.1°	0.52
00:47	17.6°	291.3°	0.52
00:48	17.5°	291.5°	0.52
00:49	17.3°	291.6°	0.52
00:50	17.2°	291.8°	0.52
00:51	17.0°	291.9°	0.52
00:52	16.9°	292.1°	0.52
00:53	16.7°	292.2°	0.52
00:54	16.6°	292.4°	0.52
00:55	16.4°	292.6°	0.52
00:56	16.3°	292.7°	0.52
00:57	16.1°	292.9°	0.52
00:58	16.0°	293.0°	0.52
00:59	15.8°	293.2°	0.52
01:00	15.7°	293.4°	0.52
01:01	15.5°	293.5°	0.52
01:02	15.4°	293.7°	0.52
01:03	15.2°	293.8°	0.52
01:04	15.1°	294.0°	0.52
01:05	14.9°	294.2°	0.52
01:06	14.8°	294.3°	0.52
01:07	14.6°	294.5°	0.52
01:08	14.5°	294.6°	0.52
01:09	14.4°	294.8°	0.52
01:10	14.2°	295.0°	0.52
01:11	14.1°	295.1°	0.52
01:12	13.9°	295.3°	0.52
01:13	13.8°	295.4°	0.52
01:14	13.6°	295.6°	0.52
01:15	13.5°	295.8°	0.52
01:16	13.3°	295.9°	0.52
01:17	13.2°	296.1°	0.52
01:18	13.0°	296.2°	0.52
01:19	12.9°	296.4°	0.53
01:20	12.8°	296.6°	0.53
01:21	12.6°	296.7°	0.53
01:22	12.5°	296.9°	0.53
01:23	12.3°	297.0°	0.53
01:24	12.2°	297.2°	0.53
01:25	12.0°	297.4°	0.53
01:26	11.9°	297.5°	0.53
01:27	11.8°	297.7°	0.53
01:28	11.6°	297.8°	0.53
01:29	11.5°	298.0°	0.53
01:30	11.3°	298.2°	0.53
01:31	11.2°	298.3°	0.53
01:32	11.1°	298.5°	0.53
01:33	10.9°	298.7°	0.53
01:34	10.8°	298.8°	0.53
01:35	10.6°	299.0°	0.53
01:36	10.5°	299.1°	0.53
01:37	10.4°	299.3°	0.53
01:38	10.2°	299.5°	0.53
01:39	10.1°	299.6°	0.53
01:40	9.9°	299.8°	0.53
01:41	9.8°	300.0°	0.53
01:42	9.7°	300.1°	0.53
01:43	9.5°	300.3°	0.53
01:44	9.4°	300.4°	0.53
01:45	9.2°	300.6°	0.53
01:46	9.1°	300.8°	0.53
01:47	9.0°	300.9°	0.53
01:48	8.8°	301.1°	0.53
01:49	8.7°	301.3°	0.53
01:50	8.6°	301.4°	0.53
01:51	8.4°	301.6°	0.53
01:52	8.3°	301.7°	0.53
01:53	8.2°	301.9°	0.53
01:54	8.0°	302.1°	0.53
01:55	7.9°	302.2°	0.53
01:56	7.7°	302.4°	0.53
01:57	7.6°	302.6°	0.53
01:58	7.5°	302.7°	0.53
01:59	7.3°	302.9°	0.53
02:00	7.2°	303.1°	0.53
02:01	7.1°	303.2°	0.53
02:02	6.9°	303.4°	0.53
02:03	6.8°	303.6°	0.53
02:04	6.7°	303.7°	0.53
02:05	6.6°	303.9°	0.53
02:06	6.4°	304.1°	0.53
02:07	6.3°	304.2°	0.53
02:08	6.2°	304.4°	0.53
02:09	6.0°	304.6°	0.53
02:10	5.9°	304.7°	0.53
02:11	5.8°	304.9°	0.53
02:12	5.6°	305.1°	0.53
02:13	5.5°	305.2°	0.53
02:14	5.4°	305.4°	0.53
02:15	5.3°	305.6°	0.53
02:16	5.1°	305.7°	0.53
02:17	5.0°	305.9°	0.53
02:18	4.9°	306.1°	0.53
02:19	4.7°	306.2°	0.53
02:20	4.6°	306.4°	0.53
02:21	4.5°	306.6°	0.53
02:22	4.4°	306.8°	0.53
02:23	4.2°	306.9°	0.53
02:24	4.1°	307.1°	0.53
02:25	4.0°	307.3°	0.53
02:26	3.9°	307.4°	0.53
02:27	3.7°	307.6°	0.53
02:28	3.6°	307.8°	0.53
02:29	3.5°	307.9°	0.53
02:30	3.4°	308.1°	0.53
02:31	3.3°	308.3°	0.53
02:32	3.1°	308.5°	0.53
02:33	3.0°	308.6°	0.53
02:34	2.9°	308.8°	0.53
02:35	2.8°	309.0°	0.53
02:36	2.7°	309.1°	0.53
02:37	2.5°	309.3°	0.53
02:38	2.4°	309.5°	0.53
02:39	2.3°	309.7°	0.53
02:40	2.2°	309.8°	0.53
02:41	2.1°	310.0°	0.53
02:42	2.0°	310.2°	0.53
02:43	1.9°	310.4°	0.53
02:44	1.7°	310.5°	0.53
02:45	1.6°	310.7°	0.53
02:46	1.5°	310.9°	0.53
02:47	1.4°	311.0°	0.53
02:48	1.3°	311.2°	0.53
02:49	1.2°	311.4°	0.53
02:50	1.1°	311.6°	0.53
02:51	1.0°	311.7°	0.53
02:52	0.9°	311.9°	0.53
02:53	0.8°	312.1°	0.53
02:54	0.7°	312.3°	0.53
02:55	0.6°	312.4°	0.53
02:56	0.5°	312.6°	0.53
02:57	0.4°	312.8°	0.53
02:58	0.3°	313.0°	0.53
02:59	0.2°	313.2°	0.53
03:00	0.1°	313.3°	0.53
03:01	-0.0°	313.5°	0.53
03:02	-0.1°	313.7°	0.53
03:03	-0.9°	313.9°	0.53
03:04	-1.0°	314.0°	0.53
03:05	-1.1°	314.2°	0.53
03:06	-1.2°	314.4°	0.53
03:07	-1.3°	314.6°	0.53
03:08	-1.4°	314.8°	0.53
03:09	-1.5°	314.9°	0.53
03:10	-1.7°	315.1°	0.53
03:11	-1.8°	315.3°	0.53
03:12	-1.9°	315.5°	0.53
03:13	-2.0°	315.7°	0.53
03:14	-2.1°	315.8°	0.53
03:15	-2.2°	316.0°	0.53
03:16	-2.3°	316.2°	0.53
03:17	-2.4°	316.4°	0.53
03:18	-2.6°	316.6°	0.53
03:19	-2.7°	316.7°	0.53
03:20	-2.8°	316.9°	0.53
03:21	-2.9°	317.1°	0.53
03:22	-3.0°	317.3°	0.53
03:23	-3.1°	317.5°	0.53
03:24	-3.2°	317.6°	0.53
03:25	-3.3°	317.8°	0.53
03:26	-3.4°	318.0°	0.54
03:27	-3.5°	318.2°	0.54
03:28	-3.6°	318.4°	0.54
03:29	-3.8°	318.6°	0.54
03:30	-3.9°	318.7°	0.54
03:31	-4.0°	318.9°	0.54
03:32	-4.1°	319.1°	0.54
03:33	-4.2°	319.3°	0.54
03:34	-4.3°	319.5°	0.54
03:35	-4.4°	319.7°	0.54
03:36	-4.5°	319.9°	0.54
03:37	-4.6°	320.0°	0.54
03:38	-4.7°	320.2°	0.54
03:39	-4.8°	320.4°	0.54
03:40	-4.9°	320.6°	0.54
03:41	-5.0°	320.8°	0.54
03:42	-5.1°	321.0°	0.54
03:43	-5.2°	321.2°	0.54
03:44	-5.3°	321.4°	0.54
03:45	-5.4°	321.5°	0.54
03:46	-5.5°	321.7°	0.54
03:47	-5.6°	321.9°	0.54
