Altitude and Azimuth of the Moon
N 48° 10', E 11° 30'
2026-05-09
Zone: 1.0 hours East of Greenwich
Time	Altitude	Azimuth (E of N)	Fraction Illuminated
00:17	-11.9°	108.6°	0.59
00:18	-11.8°	108.7°	0.59
00:19	-11.6°	108.9°	0.59
00:20	-11.5°	109.1°	0.59
00:21	-11.3°	109.3°	0.59
00:22	-11.1°	109.4°	0.59
00:23	-11.0°	109.6°	0.59
00:24	-10.8°	109.8°	0.59
00:25	-10.7°	109.9°	0.59
00:26	-10.5°	110.1°	0.59
00:27	-10.4°	110.3°	0.59
00:28	-10.2°	110.4°	0.59
00:29	-10.1°	110.6°	0.59
00:30	-9.9°	110.8°	0.59
00:31	-9.8°	110.9°	0.59
00:32	-9.6°	111.1°	0.59
00:33	-9.5°	111.3°	0.59
00:34	-9.3°	111.5°	0.59
00:35	-9.2°	111.6°	0.59
00:36	-9.0°	111.8°	0.59
00:37	-8.9°	112.0°	0.59
00:38	-8.7°	112.1°	0.59
00:39	-8.6°	112.3°	0.59
00:40	-8.4°	112.5°	0.59
00:41	-8.3°	112.6°	0.59
00:42	-8.1°	112.8°	0.59
00:43	-7.9°	113.0°	0.59
00:44	-7.8°	113.2°	0.59
00:45	-7.6°	113.3°	0.59
00:46	-7.5°	113.5°	0.59
00:47	-7.3°	113.7°	0.59
00:48	-7.2°	113.8°	0.59
00:49	-7.0°	114.0°	0.59
00:50	-6.9°	114.2°	0.59
00:51	-6.8°	114.4°	0.59
00:52	-6.6°	114.5°	0.59
00:53	-6.5°	114.7°	0.59
00:54	-6.3°	114.9°	0.59
00:55	-6.2°	115.0°	0.59
00:56	-6.0°	115.2°	0.59
00:57	-5.9°	115.4°	0.59
00:58	-5.7°	115.6°	0.59
00:59	-5.6°	115.7°	0.59
01:00	-5.4°	115.9°	0.59
01:01	-5.3°	116.1°	0.59
01:02	-5.1°	116.3°	0.59
01:03	-5.0°	116.4°	0.59
01:04	-4.8°	116.6°	0.59
01:05	-4.7°	116.8°	0.59
01:06	-4.5°	116.9°	0.59
01:07	-4.4°	117.1°	0.59
01:08	-4.2°	117.3°	0.59
01:09	-4.1°	117.5°	0.59
01:10	-4.0°	117.6°	0.59
01:11	-3.8°	117.8°	0.59
01:12	-3.7°	118.0°	0.59
01:13	-3.5°	118.2°	0.59
01:14	-3.4°	118.3°	0.59
01:15	-3.2°	118.5°	0.59
