Altitude and Azimuth of the Moon
N 48° 10', E 11° 30'
2026-05-12
Zone: 1.0 hours East of Greenwich
Time	Altitude	Azimuth (E of N)	Fraction Illuminated
01:18	-11.9°	84.3°	0.29
01:19	-11.7°	84.5°	0.29
01:20	-11.6°	84.7°	0.29
01:21	-11.4°	84.9°	0.29
01:22	-11.2°	85.0°	0.29
01:23	-11.1°	85.2°	0.29
01:24	-10.9°	85.4°	0.29
01:25	-10.8°	85.6°	0.29
01:26	-10.6°	85.8°	0.29
01:27	-10.4°	85.9°	0.29
01:28	-10.3°	86.1°	0.29
01:29	-10.1°	86.3°	0.29
01:30	-9.9°	86.5°	0.29
01:31	-9.8°	86.7°	0.29
01:32	-9.6°	86.8°	0.29
01:33	-9.4°	87.0°	0.29
01:34	-9.3°	87.2°	0.29
01:35	-9.1°	87.4°	0.29
01:36	-8.9°	87.6°	0.29
01:37	-8.8°	87.7°	0.29
01:38	-8.6°	87.9°	0.29
01:39	-8.5°	88.1°	0.29
01:40	-8.3°	88.3°	0.29
01:41	-8.1°	88.5°	0.29
01:42	-8.0°	88.6°	0.29
01:43	-7.8°	88.8°	0.29
01:44	-7.6°	89.0°	0.29
01:45	-7.5°	89.2°	0.29
01:46	-7.3°	89.3°	0.29
01:47	-7.1°	89.5°	0.29
01:48	-7.0°	89.7°	0.29
01:49	-6.8°	89.9°	0.29
01:50	-6.6°	90.1°	0.29
01:51	-6.5°	90.2°	0.29
01:52	-6.3°	90.4°	0.29
01:53	-6.1°	90.6°	0.28
01:54	-6.0°	90.8°	0.28
01:55	-5.8°	90.9°	0.28
01:56	-5.7°	91.1°	0.28
01:57	-5.5°	91.3°	0.28
01:58	-5.3°	91.5°	0.28
01:59	-5.2°	91.7°	0.28
02:00	-5.0°	91.8°	0.28
02:01	-4.8°	92.0°	0.28
02:02	-4.7°	92.2°	0.28
02:03	-4.5°	92.4°	0.28
02:04	-4.3°	92.5°	0.28
02:05	-4.2°	92.7°	0.28
02:06	-4.0°	92.9°	0.28
02:07	-3.8°	93.1°	0.28
02:08	-3.7°	93.2°	0.28
02:09	-3.5°	93.4°	0.28
02:10	-3.4°	93.6°	0.28
02:11	-3.2°	93.8°	0.28
02:12	-3.0°	94.0°	0.28
02:13	-2.9°	94.1°	0.28
02:14	-2.7°	94.3°	0.28
02:15	-2.5°	94.5°	0.28
02:16	-2.4°	94.7°	0.28
02:17	-2.2°	94.8°	0.28
02:18	-2.0°	95.0°	0.28
02:19	-1.9°	95.2°	0.28
02:20	-1.7°	95.4°	0.28
02:21	-1.5°	95.6°	0.28
02:22	-1.4°	95.7°	0.28
02:23	-1.2°	95.9°	0.28
02:24	-1.1°	96.1°	0.28
02:25	-0.9°	96.3°	0.28
02:26	-0.1°	96.4°	0.28
02:27	0.0°	96.6°	0.28
02:28	0.1°	96.8°	0.28
02:29	0.3°	97.0°	0.28
02:30	0.4°	97.2°	0.28
02:31	0.6°	97.3°	0.28
02:32	0.7°	97.5°	0.28
02:33	0.8°	97.7°	0.28
02:34	1.0°	97.9°	0.28
02:35	1.1°	98.0°	0.28
02:36	1.3°	98.2°	0.28
02:37	1.4°	98.4°	0.28
02:38	1.6°	98.6°	0.28
02:39	1.7°	98.8°	0.28
02:40	1.9°	98.9°	0.28
02:41	2.0°	99.1°	0.28
02:42	2.2°	99.3°	0.28
02:43	2.3°	99.5°	0.28
02:44	2.5°	99.7°	0.28
02:45	2.6°	99.8°	0.28
02:46	2.8°	100.0°	0.28
02:47	2.9°	100.2°	0.28
02:48	3.1°	100.4°	0.28
02:49	3.3°	100.6°	0.28
02:50	3.4°	100.7°	0.28
02:51	3.6°	100.9°	0.28
02:52	3.7°	101.1°	0.28
02:53	3.9°	101.3°	0.28
02:54	4.0°	101.5°	0.28
02:55	4.2°	101.6°	0.28
02:56	4.3°	101.8°	0.28
02:57	4.5°	102.0°	0.28
02:58	4.7°	102.2°	0.28
02:59	4.8°	102.4°	0.28
03:00	5.0°	102.5°	0.28
03:01	5.1°	102.7°	0.28
03:02	5.3°	102.9°	0.28
03:03	5.4°	103.1°	0.28
03:04	5.6°	103.3°	0.28
03:05	5.8°	103.4°	0.28
03:06	5.9°	103.6°	0.28
03:07	6.1°	103.8°	0.28
03:08	6.2°	104.0°	0.28
03:09	6.4°	104.2°	0.28
03:10	6.6°	104.4°	0.28
03:11	6.7°	104.5°	0.28
03:12	6.9°	104.7°	0.28
03:13	7.0°	104.9°	0.28
03:14	7.2°	105.1°	0.28
03:15	7.3°	105.3°	0.28
03:16	7.5°	105.5°	0.28
03:17	7.7°	105.6°	0.28
03:18	7.8°	105.8°	0.28
03:19	8.0°	106.0°	0.28
03:20	8.1°	106.2°	0.28
03:21	8.3°	106.4°	0.28
03:22	8.4°	106.6°	0.28
03:23	8.6°	106.8°	0.28
03:24	8.8°	106.9°	0.28
03:25	8.9°	107.1°	0.28
03:26	9.1°	107.3°	0.28
03:27	9.2°	107.5°	0.28
03:28	9.4°	107.7°	0.28
03:29	9.5°	107.9°	0.28
03:30	9.7°	108.1°	0.28
03:31	9.8°	108.2°	0.28
03:32	10.0°	108.4°	0.28
03:33	10.2°	108.6°	0.28
03:34	10.3°	108.8°	0.28
03:35	10.5°	109.0°	0.28
03:36	10.6°	109.2°	0.28
03:37	10.8°	109.4°	0.28
03:38	10.9°	109.6°	0.28
03:39	11.1°	109.8°	0.28
03:40	11.2°	109.9°	0.28
03:41	11.4°	110.1°	0.28
03:42	11.6°	110.3°	0.28
03:43	11.7°	110.5°	0.28
03:44	11.9°	110.7°	0.28
03:45	12.0°	110.9°	0.28
03:46	12.2°	111.1°	0.28
03:47	12.3°	111.3°	0.28
03:48	12.5°	111.5°	0.28
03:49	12.6°	111.7°	0.28
03:50	12.8°	111.9°	0.28
03:51	12.9°	112.1°	0.28
03:52	13.1°	112.2°	0.28
03:53	13.2°	112.4°	0.28
03:54	13.4°	112.6°	0.28
03:55	13.5°	112.8°	0.28
03:56	13.7°	113.0°	0.28
03:57	13.9°	113.2°	0.28
03:58	14.0°	113.4°	0.28
03:59	14.2°	113.6°	0.28
04:00	14.3°	113.8°	0.28
04:01	14.5°	114.0°	0.28
04:02	14.6°	114.2°	0.28
04:03	14.8°	114.4°	0.28
04:04	14.9°	114.6°	0.28
04:05	15.1°	114.8°	0.28
04:06	15.2°	115.0°	0.28
04:07	15.4°	115.2°	0.28
04:08	15.5°	115.4°	0.28
04:09	15.7°	115.6°	0.28
04:10	15.8°	115.8°	0.28
04:11	16.0°	116.0°	0.28
04:12	16.1°	116.2°	0.28
04:13	16.3°	116.4°	0.28
04:14	16.4°	116.6°	0.28
04:15	16.6°	116.8°	0.28
04:16	16.7°	117.0°	0.28
04:17	16.9°	117.2°	0.28
04:18	17.0°	117.4°	0.28
04:19	17.1°	117.6°	0.28
04:20	17.3°	117.8°	0.28
04:21	17.4°	118.0°	0.28
04:22	17.6°	118.2°	0.27
04:23	17.7°	118.4°	0.27
04:24	17.9°	118.6°	0.27
04:25	18.0°	118.8°	0.27
04:26	18.2°	119.0°	0.27
04:27	18.3°	119.2°	0.27
04:28	18.5°	119.4°	0.27
04:29	18.6°	119.6°	0.27
04:30	18.7°	119.8°	0.27
04:31	18.9°	120.0°	0.27
04:32	19.0°	120.2°	0.27
04:33	19.2°	120.4°	0.27
04:34	19.3°	120.7°	0.27
04:35	19.5°	120.9°	0.27
04:36	19.6°	121.1°	0.27
04:37	19.8°	121.3°	0.27
04:38	19.9°	121.5°	0.27
04:39	20.0°	121.7°	0.27
04:40	20.2°	121.9°	0.27
04:41	20.3°	122.1°	0.27
04:42	20.5°	122.3°	0.27
04:43	20.6°	122.5°	0.27
04:44	20.7°	122.8°	0.27
04:45	20.9°	123.0°	0.27
04:46	21.0°	123.2°	0.27
04:47	21.2°	123.4°	0.27
04:48	21.3°	123.6°	0.27
04:49	21.4°	123.8°	0.27
04:50	21.6°	124.0°	0.27
04:51	21.7°	124.3°	0.27
04:52	21.8°	124.5°	0.27
04:53	22.0°	124.7°	0.27
04:54	22.1°	124.9°	0.27
04:55	22.3°	125.1°	0.27
04:56	22.4°	125.3°	0.27
04:57	22.5°	125.6°	0.27
04:58	22.7°	125.8°	0.27
04:59	22.8°	126.0°	0.27
05:00	22.9°	126.2°	0.27
05:01	23.1°	126.4°	0.27
05:02	23.2°	126.7°	0.27
05:03	23.3°	126.9°	0.27
05:04	23.5°	127.1°	0.27
05:05	23.6°	127.3°	0.27
05:06	23.7°	127.6°	0.27
05:07	23.9°	127.8°	0.27
05:08	24.0°	128.0°	0.27
05:09	24.1°	128.2°	0.27
05:10	24.3°	128.4°	0.27
05:11	24.4°	128.7°	0.27
05:12	24.5°	128.9°	0.27
05:13	24.7°	129.1°	0.27
05:14	24.8°	129.4°	0.27
05:15	24.9°	129.6°	0.27
05:16	25.0°	129.8°	0.27
05:17	25.2°	130.0°	0.27
05:18	25.3°	130.3°	0.27
05:19	25.4°	130.5°	0.27
05:20	25.6°	130.7°	0.27
05:21	25.7°	131.0°	0.27
05:22	25.8°	131.2°	0.27
05:23	25.9°	131.4°	0.27
05:24	26.1°	131.7°	0.27
05:25	26.2°	131.9°	0.27
05:26	26.3°	132.1°	0.27
05:27	26.4°	132.4°	0.27
05:28	26.6°	132.6°	0.27
05:29	26.7°	132.8°	0.27
05:30	26.8°	133.1°	0.27
05:31	26.9°	133.3°	0.27
05:32	27.1°	133.5°	0.27
05:33	27.2°	133.8°	0.27
05:34	27.3°	134.0°	0.27
05:35	27.4°	134.2°	0.27
05:36	27.5°	134.5°	0.27
05:37	27.7°	134.7°	0.27
05:38	27.8°	135.0°	0.27
05:39	27.9°	135.2°	0.27
05:40	28.0°	135.4°	0.27
05:41	28.1°	135.7°	0.27
05:42	28.2°	135.9°	0.27
