Altitude and Azimuth of the Moon
N 48° 10', E 11° 30'
2026-04-18
Zone: 1.0 hours East of Greenwich
Time	Altitude	Azimuth (E of N)	Fraction Illuminated
03:55	-12.0°	46.6°	0.01
03:56	-11.9°	46.8°	0.01
03:57	-11.7°	47.0°	0.01
03:58	-11.6°	47.2°	0.01
03:59	-11.5°	47.4°	0.01
04:00	-11.4°	47.6°	0.01
04:01	-11.3°	47.8°	0.01
04:02	-11.1°	48.0°	0.01
04:03	-11.0°	48.2°	0.01
04:04	-10.9°	48.4°	0.01
04:05	-10.8°	48.6°	0.01
04:06	-10.6°	48.8°	0.01
04:07	-10.5°	49.0°	0.01
04:08	-10.4°	49.2°	0.01
04:09	-10.3°	49.4°	0.01
04:10	-10.2°	49.6°	0.01
04:11	-10.0°	49.8°	0.01
04:12	-9.9°	50.0°	0.01
04:13	-9.8°	50.2°	0.01
04:14	-9.6°	50.3°	0.01
04:15	-9.5°	50.5°	0.01
04:16	-9.4°	50.7°	0.01
04:17	-9.3°	50.9°	0.01
04:18	-9.1°	51.1°	0.01
04:19	-9.0°	51.3°	0.01
04:20	-8.9°	51.5°	0.01
04:21	-8.8°	51.7°	0.01
04:22	-8.6°	51.9°	0.01
04:23	-8.5°	52.1°	0.01
04:24	-8.4°	52.3°	0.01
04:25	-8.2°	52.4°	0.01
04:26	-8.1°	52.6°	0.01
04:27	-8.0°	52.8°	0.01
04:28	-7.8°	53.0°	0.01
04:29	-7.7°	53.2°	0.01
04:30	-7.6°	53.4°	0.01
04:31	-7.4°	53.6°	0.01
04:32	-7.3°	53.8°	0.01
04:33	-7.2°	54.0°	0.01
04:34	-7.1°	54.1°	0.01
04:35	-6.9°	54.3°	0.01
04:36	-6.8°	54.5°	0.01
04:37	-6.7°	54.7°	0.01
04:38	-6.5°	54.9°	0.01
04:39	-6.4°	55.1°	0.01
04:40	-6.2°	55.3°	0.01
04:41	-6.1°	55.4°	0.01
04:42	-6.0°	55.6°	0.01
04:43	-5.8°	55.8°	0.01
04:44	-5.7°	56.0°	0.01
04:45	-5.6°	56.2°	0.01
04:46	-5.4°	56.4°	0.01
04:47	-5.3°	56.6°	0.01
04:48	-5.2°	56.7°	0.01
04:49	-5.0°	56.9°	0.01
04:50	-4.9°	57.1°	0.01
04:51	-4.7°	57.3°	0.01
04:52	-4.6°	57.5°	0.01
04:53	-4.5°	57.7°	0.01
04:54	-4.3°	57.8°	0.01
04:55	-4.2°	58.0°	0.01
04:56	-4.1°	58.2°	0.01
04:57	-3.9°	58.4°	0.01
04:58	-3.8°	58.6°	0.01
04:59	-3.6°	58.7°	0.01
05:00	-3.5°	58.9°	0.01
05:01	-3.4°	59.1°	0.01
05:02	-3.2°	59.3°	0.01
05:03	-3.1°	59.5°	0.01
05:04	-2.9°	59.6°	0.01
05:05	-2.8°	59.8°	0.01
05:06	-2.6°	60.0°	0.01
05:07	-2.5°	60.2°	0.01
05:08	-2.4°	60.4°	0.01
05:09	-2.2°	60.5°	0.01
05:10	-2.1°	60.7°	0.01
05:11	-1.9°	60.9°	0.01
05:12	-1.8°	61.1°	0.01
05:13	-1.6°	61.2°	0.01
05:14	-1.5°	61.4°	0.01
05:15	-1.4°	61.6°	0.01
05:16	-1.2°	61.8°	0.01
05:17	-1.1°	62.0°	0.01
05:18	-0.9°	62.1°	0.01
05:19	-0.8°	62.3°	0.01
05:20	-0.1°	62.5°	0.01
05:21	0.1°	62.7°	0.01
05:22	0.2°	62.8°	0.01
05:23	0.3°	63.0°	0.01
05:24	0.4°	63.2°	0.01
05:25	0.6°	63.4°	0.01
05:26	0.7°	63.5°	0.01
05:27	0.8°	63.7°	0.01
05:28	0.9°	63.9°	0.01
05:29	1.1°	64.1°	0.01
05:30	1.2°	64.2°	0.01
05:31	1.3°	64.4°	0.01
05:32	1.5°	64.6°	0.01
05:33	1.6°	64.8°	0.01
05:34	1.7°	64.9°	0.01
05:35	1.9°	65.1°	0.01
05:36	2.0°	65.3°	0.01
05:37	2.2°	65.5°	0.01
05:38	2.3°	65.6°	0.01
05:39	2.4°	65.8°	0.01
05:40	2.6°	66.0°	0.01
05:41	2.7°	66.2°	0.01
05:42	2.9°	66.3°	0.01
05:43	3.0°	66.5°	0.01
05:44	3.1°	66.7°	0.01
05:45	3.3°	66.8°	0.01
05:46	3.4°	67.0°	0.01
05:47	3.6°	67.2°	0.01
05:48	3.7°	67.4°	0.01
05:49	3.9°	67.5°	0.01
05:50	4.0°	67.7°	0.01
05:51	4.2°	67.9°	0.01
05:52	4.3°	68.0°	0.01
05:53	4.5°	68.2°	0.01
05:54	4.6°	68.4°	0.01
05:55	4.8°	68.6°	0.01
05:56	4.9°	68.7°	0.01
05:57	5.0°	68.9°	0.01
05:58	5.2°	69.1°	0.01
05:59	5.3°	69.2°	0.01
06:00	5.5°	69.4°	0.01
06:01	5.6°	69.6°	0.01
06:02	5.8°	69.8°	0.01
06:03	5.9°	69.9°	0.01
06:04	6.1°	70.1°	0.01
06:05	6.2°	70.3°	0.01
06:06	6.4°	70.4°	0.01
06:07	6.6°	70.6°	0.01
06:08	6.7°	70.8°	0.01
06:09	6.9°	70.9°	0.01
06:10	7.0°	71.1°	0.01
06:11	7.2°	71.3°	0.01
06:12	7.3°	71.5°	0.01
06:13	7.5°	71.6°	0.01
06:14	7.6°	71.8°	0.01
06:15	7.8°	72.0°	0.01
06:16	7.9°	72.1°	0.01
06:17	8.1°	72.3°	0.01
06:18	8.2°	72.5°	0.01
06:19	8.4°	72.6°	0.01
06:20	8.5°	72.8°	0.01
06:21	8.7°	73.0°	0.01
06:22	8.9°	73.1°	0.01
06:23	9.0°	73.3°	0.01
06:24	9.2°	73.5°	0.01
06:25	9.3°	73.7°	0.01
06:26	9.5°	73.8°	0.01
06:27	9.6°	74.0°	0.01
06:28	9.8°	74.2°	0.01
06:29	9.9°	74.3°	0.01
06:30	10.1°	74.5°	0.01
06:31	10.3°	74.7°	0.01
06:32	10.4°	74.8°	0.01
06:33	10.6°	75.0°	0.01
06:34	10.7°	75.2°	0.01
06:35	10.9°	75.3°	0.01
06:36	11.0°	75.5°	0.01
06:37	11.2°	75.7°	0.01
06:38	11.4°	75.8°	0.01
06:39	11.5°	76.0°	0.01
06:40	11.7°	76.2°	0.01
06:41	11.8°	76.3°	0.01
06:42	12.0°	76.5°	0.01
06:43	12.2°	76.7°	0.01
06:44	12.3°	76.8°	0.01
06:45	12.5°	77.0°	0.01
06:46	12.6°	77.2°	0.01
06:47	12.8°	77.3°	0.01
06:48	12.9°	77.5°	0.01
06:49	13.1°	77.7°	0.01
06:50	13.3°	77.9°	0.01
