Altitude and Azimuth of the Moon
N 48° 10', E 11° 30'
2026-03-28
Zone: 1.0 hours East of Greenwich
Time	Altitude	Azimuth (E of N)	Fraction Illuminated
00:00	39.3°	257.9°	0.73
00:01	39.1°	258.1°	0.73
00:02	39.0°	258.3°	0.73
00:03	38.8°	258.5°	0.73
00:04	38.7°	258.7°	0.73
00:05	38.5°	258.9°	0.73
00:06	38.3°	259.1°	0.73
00:07	38.2°	259.3°	0.73
00:08	38.0°	259.5°	0.73
00:09	37.8°	259.7°	0.73
00:10	37.7°	259.9°	0.73
00:11	37.5°	260.1°	0.73
00:12	37.4°	260.3°	0.73
00:13	37.2°	260.5°	0.73
00:14	37.0°	260.7°	0.73
00:15	36.9°	260.9°	0.73
00:16	36.7°	261.1°	0.73
00:17	36.6°	261.3°	0.73
00:18	36.4°	261.5°	0.73
00:19	36.2°	261.7°	0.73
00:20	36.1°	261.8°	0.73
00:21	35.9°	262.0°	0.73
00:22	35.7°	262.2°	0.74
00:23	35.6°	262.4°	0.74
00:24	35.4°	262.6°	0.74
00:25	35.2°	262.8°	0.74
00:26	35.1°	263.0°	0.74
00:27	34.9°	263.2°	0.74
00:28	34.8°	263.4°	0.74
00:29	34.6°	263.6°	0.74
00:30	34.4°	263.8°	0.74
00:31	34.3°	263.9°	0.74
00:32	34.1°	264.1°	0.74
00:33	33.9°	264.3°	0.74
00:34	33.8°	264.5°	0.74
00:35	33.6°	264.7°	0.74
00:36	33.5°	264.9°	0.74
00:37	33.3°	265.1°	0.74
00:38	33.1°	265.3°	0.74
00:39	33.0°	265.4°	0.74
00:40	32.8°	265.6°	0.74
00:41	32.6°	265.8°	0.74
00:42	32.5°	266.0°	0.74
00:43	32.3°	266.2°	0.74
00:44	32.1°	266.4°	0.74
00:45	32.0°	266.6°	0.74
00:46	31.8°	266.7°	0.74
00:47	31.7°	266.9°	0.74
00:48	31.5°	267.1°	0.74
00:49	31.3°	267.3°	0.74
00:50	31.2°	267.5°	0.74
00:51	31.0°	267.6°	0.74
00:52	30.8°	267.8°	0.74
00:53	30.7°	268.0°	0.74
00:54	30.5°	268.2°	0.74
00:55	30.3°	268.4°	0.74
00:56	30.2°	268.5°	0.74
00:57	30.0°	268.7°	0.74
00:58	29.8°	268.9°	0.74
00:59	29.7°	269.1°	0.74
01:00	29.5°	269.3°	0.74
01:01	29.4°	269.4°	0.74
01:02	29.2°	269.6°	0.74
01:03	29.0°	269.8°	0.74
01:04	28.9°	270.0°	0.74
01:05	28.7°	270.2°	0.74
01:06	28.5°	270.3°	0.74
01:07	28.4°	270.5°	0.74
01:08	28.2°	270.7°	0.74
01:09	28.0°	270.9°	0.74
01:10	27.9°	271.0°	0.74
01:11	27.7°	271.2°	0.74
01:12	27.6°	271.4°	0.74
01:13	27.4°	271.6°	0.74
