Altitude and Azimuth of the Moon
N 48° 10', E 11° 30'
2026-04-17
Zone: 1.0 hours East of Greenwich
Time	Altitude	Azimuth (E of N)	Fraction Illuminated
03:42	-11.9°	58.1°	0.00
03:43	-11.8°	58.3°	0.00
03:44	-11.6°	58.5°	0.00
03:45	-11.5°	58.7°	0.00
03:46	-11.3°	58.9°	0.00
03:47	-11.2°	59.0°	0.00
03:48	-11.1°	59.2°	0.00
03:49	-10.9°	59.4°	0.00
03:50	-10.8°	59.6°	0.00
03:51	-10.6°	59.8°	0.00
03:52	-10.5°	60.0°	0.00
03:53	-10.4°	60.2°	0.00
03:54	-10.2°	60.4°	0.00
03:55	-10.1°	60.6°	0.00
03:56	-9.9°	60.8°	0.00
03:57	-9.8°	61.0°	0.00
03:58	-9.6°	61.1°	0.00
03:59	-9.5°	61.3°	0.00
04:00	-9.4°	61.5°	0.00
04:01	-9.2°	61.7°	0.00
04:02	-9.1°	61.9°	0.00
04:03	-8.9°	62.1°	0.00
04:04	-8.8°	62.3°	0.00
04:05	-8.6°	62.5°	0.00
04:06	-8.5°	62.6°	0.00
04:07	-8.3°	62.8°	0.00
04:08	-8.2°	63.0°	0.00
04:09	-8.0°	63.2°	0.00
04:10	-7.9°	63.4°	0.00
04:11	-7.7°	63.6°	0.00
04:12	-7.6°	63.8°	0.00
04:13	-7.5°	63.9°	0.00
04:14	-7.3°	64.1°	0.00
04:15	-7.2°	64.3°	0.00
04:16	-7.0°	64.5°	0.00
04:17	-6.9°	64.7°	0.00
04:18	-6.7°	64.9°	0.00
04:19	-6.6°	65.1°	0.00
04:20	-6.4°	65.2°	0.00
04:21	-6.3°	65.4°	0.00
04:22	-6.1°	65.6°	0.00
04:23	-6.0°	65.8°	0.00
04:24	-5.8°	66.0°	0.00
04:25	-5.7°	66.2°	0.00
04:26	-5.5°	66.3°	0.00
04:27	-5.4°	66.5°	0.00
04:28	-5.2°	66.7°	0.00
04:29	-5.1°	66.9°	0.00
04:30	-4.9°	67.1°	0.00
04:31	-4.8°	67.2°	0.00
04:32	-4.6°	67.4°	0.00
04:33	-4.5°	67.6°	0.00
04:34	-4.3°	67.8°	0.00
04:35	-4.1°	68.0°	0.00
04:36	-4.0°	68.1°	0.00
04:37	-3.8°	68.3°	0.00
04:38	-3.7°	68.5°	0.00
04:39	-3.5°	68.7°	0.00
04:40	-3.4°	68.9°	0.00
04:41	-3.2°	69.0°	0.00
04:42	-3.1°	69.2°	0.00
04:43	-2.9°	69.4°	0.00
04:44	-2.8°	69.6°	0.00
04:45	-2.6°	69.8°	0.00
04:46	-2.5°	69.9°	0.00
04:47	-2.3°	70.1°	0.00
04:48	-2.1°	70.3°	0.00
04:49	-2.0°	70.5°	0.00
04:50	-1.8°	70.7°	0.00
04:51	-1.7°	70.8°	0.00
04:52	-1.5°	71.0°	0.00
04:53	-1.4°	71.2°	0.00
04:54	-1.2°	71.4°	0.00
04:55	-1.1°	71.5°	0.00
04:56	-0.9°	71.7°	0.00
04:57	-0.1°	71.9°	0.00
04:58	-0.0°	72.1°	0.00
04:59	0.1°	72.2°	0.00
05:00	0.2°	72.4°	0.00
05:01	0.4°	72.6°	0.00
05:02	0.5°	72.8°	0.00
05:03	0.6°	73.0°	0.00
05:04	0.8°	73.1°	0.00
05:05	0.9°	73.3°	0.00
05:06	1.1°	73.5°	0.00
05:07	1.2°	73.7°	0.00
05:08	1.3°	73.8°	0.00
05:09	1.5°	74.0°	0.00
05:10	1.6°	74.2°	0.00
05:11	1.8°	74.4°	0.00
05:12	1.9°	74.5°	0.00
05:13	2.1°	74.7°	0.00
05:14	2.2°	74.9°	0.00
05:15	2.4°	75.1°	0.00
05:16	2.5°	75.2°	0.00
05:17	2.7°	75.4°	0.00
05:18	2.8°	75.6°	0.00
05:19	3.0°	75.8°	0.00
05:20	3.1°	75.9°	0.00
05:21	3.3°	76.1°	0.00
05:22	3.4°	76.3°	0.00
05:23	3.6°	76.4°	0.00
05:24	3.7°	76.6°	0.00
05:25	3.9°	76.8°	0.00
05:26	4.0°	77.0°	0.00
05:27	4.2°	77.1°	0.00
05:28	4.3°	77.3°	0.00
05:29	4.5°	77.5°	0.00
05:30	4.7°	77.7°	0.00
05:31	4.8°	77.8°	0.00
05:32	5.0°	78.0°	0.00
05:33	5.1°	78.2°	0.00
05:34	5.3°	78.4°	0.00
05:35	5.4°	78.5°	0.00
05:36	5.6°	78.7°	0.00
05:37	5.8°	78.9°	0.00
05:38	5.9°	79.1°	0.00
05:39	6.1°	79.2°	0.00
05:40	6.2°	79.4°	0.00
05:41	6.4°	79.6°	0.00
05:42	6.6°	79.7°	0.00
05:43	6.7°	79.9°	0.00
05:44	6.9°	80.1°	0.00
05:45	7.0°	80.3°	0.00
05:46	7.2°	80.4°	0.00
05:47	7.4°	80.6°	0.00
05:48	7.5°	80.8°	0.00
05:49	7.7°	81.0°	0.00
05:50	7.8°	81.1°	0.00
05:51	8.0°	81.3°	0.00
05:52	8.2°	81.5°	0.00
05:53	8.3°	81.6°	0.00
05:54	8.5°	81.8°	0.00
05:55	8.6°	82.0°	0.00
05:56	8.8°	82.2°	0.00
05:57	9.0°	82.3°	0.00
05:58	9.1°	82.5°	0.00
05:59	9.3°	82.7°	0.00
06:00	9.4°	82.9°	0.00
06:01	9.6°	83.0°	0.00
06:02	9.8°	83.2°	0.00
06:03	9.9°	83.4°	0.00
06:04	10.1°	83.6°	0.00
06:05	10.3°	83.7°	0.00
06:06	10.4°	83.9°	0.00
06:07	10.6°	84.1°	0.00
