Altitude and Azimuth of the Moon
N 48° 10', E 11° 30'
2026-03-06
Zone: 1.0 hours East of Greenwich
Time	Altitude	Azimuth (E of N)	Fraction Illuminated
00:00	25.5°	143.8°	0.93
00:01	25.6°	144.1°	0.93
00:02	25.7°	144.3°	0.93
00:03	25.8°	144.6°	0.93
00:04	25.9°	144.8°	0.93
00:05	26.0°	145.1°	0.93
00:06	26.1°	145.3°	0.93
00:07	26.2°	145.6°	0.93
00:08	26.3°	145.8°	0.93
00:09	26.3°	146.1°	0.93
00:10	26.4°	146.3°	0.93
00:11	26.5°	146.6°	0.93
00:12	26.6°	146.8°	0.93
00:13	26.7°	147.1°	0.93
00:14	26.8°	147.4°	0.93
00:15	26.9°	147.6°	0.93
00:16	26.9°	147.9°	0.93
00:17	27.0°	148.1°	0.93
00:18	27.1°	148.4°	0.93
00:19	27.2°	148.6°	0.93
00:20	27.3°	148.9°	0.93
00:21	27.3°	149.1°	0.93
00:22	27.4°	149.4°	0.93
00:23	27.5°	149.7°	0.93
00:24	27.6°	149.9°	0.93
00:25	27.7°	150.2°	0.93
00:26	27.7°	150.4°	0.93
00:27	27.8°	150.7°	0.93
00:28	27.9°	151.0°	0.93
00:29	28.0°	151.2°	0.93
00:30	28.0°	151.5°	0.93
00:31	28.1°	151.7°	0.93
00:32	28.2°	152.0°	0.93
00:33	28.3°	152.3°	0.93
00:34	28.3°	152.5°	0.93
00:35	28.4°	152.8°	0.93
00:36	28.5°	153.0°	0.93
00:37	28.5°	153.3°	0.93
00:38	28.6°	153.6°	0.93
00:39	28.7°	153.8°	0.93
00:40	28.7°	154.1°	0.93
00:41	28.8°	154.4°	0.93
00:42	28.9°	154.6°	0.93
00:43	28.9°	154.9°	0.93
00:44	29.0°	155.2°	0.93
00:45	29.1°	155.4°	0.93
00:46	29.1°	155.7°	0.93
00:47	29.2°	156.0°	0.93
00:48	29.3°	156.2°	0.93
00:49	29.3°	156.5°	0.93
00:50	29.4°	156.8°	0.93
00:51	29.4°	157.0°	0.93
00:52	29.5°	157.3°	0.93
00:53	29.6°	157.6°	0.93
00:54	29.6°	157.8°	0.93
00:55	29.7°	158.1°	0.93
00:56	29.7°	158.4°	0.93
00:57	29.8°	158.7°	0.93
00:58	29.8°	158.9°	0.93
00:59	29.9°	159.2°	0.93
01:00	30.0°	159.5°	0.93
01:01	30.0°	159.7°	0.93
01:02	30.1°	160.0°	0.93
01:03	30.1°	160.3°	0.93
01:04	30.2°	160.6°	0.93
01:05	30.2°	160.8°	0.93
01:06	30.3°	161.1°	0.93
01:07	30.3°	161.4°	0.93
01:08	30.4°	161.7°	0.93
01:09	30.4°	161.9°	0.93
01:10	30.4°	162.2°	0.93
01:11	30.5°	162.5°	0.93
01:12	30.5°	162.8°	0.93
01:13	30.6°	163.0°	0.93
01:14	30.6°	163.3°	0.93
01:15	30.7°	163.6°	0.93
01:16	30.7°	163.9°	0.93
01:17	30.8°	164.1°	0.93
01:18	30.8°	164.4°	0.93
01:19	30.8°	164.7°	0.93
01:20	30.9°	165.0°	0.93
01:21	30.9°	165.3°	0.93
01:22	30.9°	165.5°	0.93
01:23	31.0°	165.8°	0.93
01:24	31.0°	166.1°	0.93
01:25	31.1°	166.4°	0.93
01:26	31.1°	166.6°	0.93
01:27	31.1°	166.9°	0.93
01:28	31.2°	167.2°	0.93
01:29	31.2°	167.5°	0.93
01:30	31.2°	167.8°	0.93
01:31	31.2°	168.0°	0.93
