Altitude and Azimuth of the Moon
N 48° 10', E 11° 30'
2026-03-21
Zone: 1.0 hours East of Greenwich
Time	Altitude	Azimuth (E of N)	Fraction Illuminated
05:36	-11.9°	52.7°	0.06
05:37	-11.8°	52.9°	0.06
05:38	-11.6°	53.1°	0.06
05:39	-11.5°	53.3°	0.06
05:40	-11.4°	53.5°	0.06
05:41	-11.2°	53.7°	0.06
05:42	-11.1°	53.9°	0.06
05:43	-11.0°	54.1°	0.06
05:44	-10.8°	54.3°	0.06
05:45	-10.7°	54.5°	0.06
05:46	-10.6°	54.7°	0.06
05:47	-10.4°	54.9°	0.06
05:48	-10.3°	55.1°	0.06
05:49	-10.2°	55.3°	0.06
05:50	-10.0°	55.4°	0.06
05:51	-9.9°	55.6°	0.06
05:52	-9.8°	55.8°	0.06
05:53	-9.6°	56.0°	0.06
05:54	-9.5°	56.2°	0.06
05:55	-9.3°	56.4°	0.06
05:56	-9.2°	56.6°	0.06
05:57	-9.1°	56.8°	0.06
05:58	-8.9°	57.0°	0.06
05:59	-8.8°	57.2°	0.06
06:00	-8.7°	57.3°	0.06
06:01	-8.5°	57.5°	0.06
06:02	-8.4°	57.7°	0.06
06:03	-8.2°	57.9°	0.06
06:04	-8.1°	58.1°	0.06
06:05	-8.0°	58.3°	0.06
06:06	-7.8°	58.5°	0.06
06:07	-7.7°	58.7°	0.06
06:08	-7.5°	58.9°	0.06
06:09	-7.4°	59.0°	0.06
06:10	-7.3°	59.2°	0.06
06:11	-7.1°	59.4°	0.06
06:12	-7.0°	59.6°	0.06
06:13	-6.8°	59.8°	0.06
06:14	-6.7°	60.0°	0.06
06:15	-6.5°	60.2°	0.06
06:16	-6.4°	60.3°	0.06
06:17	-6.3°	60.5°	0.06
06:18	-6.1°	60.7°	0.06
06:19	-6.0°	60.9°	0.06
06:20	-5.8°	61.1°	0.06
06:21	-5.7°	61.3°	0.06
06:22	-5.5°	61.4°	0.06
06:23	-5.4°	61.6°	0.06
06:24	-5.3°	61.8°	0.06
06:25	-5.1°	62.0°	0.06
06:26	-5.0°	62.2°	0.06
06:27	-4.8°	62.4°	0.06
06:28	-4.7°	62.5°	0.06
06:29	-4.5°	62.7°	0.06
06:30	-4.4°	62.9°	0.06
06:31	-4.2°	63.1°	0.06
06:32	-4.1°	63.3°	0.06
06:33	-3.9°	63.4°	0.06
06:34	-3.8°	63.6°	0.06
06:35	-3.6°	63.8°	0.06
06:36	-3.5°	64.0°	0.06
06:37	-3.4°	64.2°	0.06
06:38	-3.2°	64.3°	0.06
06:39	-3.1°	64.5°	0.06
06:40	-2.9°	64.7°	0.06
06:41	-2.8°	64.9°	0.06
06:42	-2.6°	65.1°	0.06
06:43	-2.5°	65.2°	0.06
06:44	-2.3°	65.4°	0.06
06:45	-2.2°	65.6°	0.06
06:46	-2.0°	65.8°	0.06
06:47	-1.9°	66.0°	0.06
06:48	-1.7°	66.1°	0.06
06:49	-1.6°	66.3°	0.06
06:50	-1.4°	66.5°	0.06
06:51	-1.3°	66.7°	0.06
06:52	-1.1°	66.8°	0.06
06:53	-1.0°	67.0°	0.06
06:54	-0.8°	67.2°	0.06
06:55	-0.1°	67.4°	0.06
06:56	0.1°	67.6°	0.06
06:57	0.2°	67.7°	0.06
06:58	0.3°	67.9°	0.06
06:59	0.4°	68.1°	0.06
07:00	0.6°	68.3°	0.06
07:01	0.7°	68.4°	0.06
07:02	0.8°	68.6°	0.06
07:03	1.0°	68.8°	0.06
