Altitude and Azimuth of the Moon
N 48° 10', E 11° 30'
2026-05-11
Zone: 1.0 hours East of Greenwich
Time	Altitude	Azimuth (E of N)	Fraction Illuminated
01:01	-11.9°	93.5°	0.39
01:02	-11.8°	93.6°	0.39
01:03	-11.6°	93.8°	0.39
01:04	-11.4°	94.0°	0.39
01:05	-11.3°	94.2°	0.39
01:06	-11.1°	94.3°	0.39
01:07	-10.9°	94.5°	0.39
01:08	-10.8°	94.7°	0.39
01:09	-10.6°	94.9°	0.39
01:10	-10.4°	95.0°	0.39
01:11	-10.3°	95.2°	0.39
01:12	-10.1°	95.4°	0.39
01:13	-10.0°	95.6°	0.39
01:14	-9.8°	95.7°	0.39
01:15	-9.6°	95.9°	0.39
01:16	-9.5°	96.1°	0.39
01:17	-9.3°	96.3°	0.39
01:18	-9.1°	96.4°	0.39
01:19	-9.0°	96.6°	0.39
01:20	-8.8°	96.8°	0.39
01:21	-8.7°	97.0°	0.39
01:22	-8.5°	97.1°	0.39
01:23	-8.3°	97.3°	0.39
01:24	-8.2°	97.5°	0.39
01:25	-8.0°	97.7°	0.39
01:26	-7.8°	97.8°	0.39
01:27	-7.7°	98.0°	0.39
01:28	-7.5°	98.2°	0.39
01:29	-7.3°	98.4°	0.39
01:30	-7.2°	98.5°	0.39
01:31	-7.0°	98.7°	0.39
01:32	-6.9°	98.9°	0.39
01:33	-6.7°	99.1°	0.39
01:34	-6.5°	99.2°	0.39
01:35	-6.4°	99.4°	0.39
01:36	-6.2°	99.6°	0.39
01:37	-6.0°	99.8°	0.39
01:38	-5.9°	99.9°	0.39
01:39	-5.7°	100.1°	0.39
01:40	-5.6°	100.3°	0.39
01:41	-5.4°	100.5°	0.39
01:42	-5.2°	100.7°	0.39
01:43	-5.1°	100.8°	0.39
01:44	-4.9°	101.0°	0.39
01:45	-4.8°	101.2°	0.39
01:46	-4.6°	101.4°	0.39
01:47	-4.4°	101.5°	0.38
01:48	-4.3°	101.7°	0.38
01:49	-4.1°	101.9°	0.38
01:50	-3.9°	102.1°	0.38
01:51	-3.8°	102.2°	0.38
01:52	-3.6°	102.4°	0.38
01:53	-3.5°	102.6°	0.38
01:54	-3.3°	102.8°	0.38
01:55	-3.1°	102.9°	0.38
01:56	-3.0°	103.1°	0.38
01:57	-2.8°	103.3°	0.38
01:58	-2.7°	103.5°	0.38
01:59	-2.5°	103.6°	0.38
02:00	-2.3°	103.8°	0.38
02:01	-2.2°	104.0°	0.38
02:02	-2.0°	104.2°	0.38
02:03	-1.9°	104.4°	0.38
02:04	-1.7°	104.5°	0.38
02:05	-1.5°	104.7°	0.38
02:06	-1.4°	104.9°	0.38
02:07	-1.2°	105.1°	0.38
02:08	-1.1°	105.2°	0.38
02:09	-0.9°	105.4°	0.38
02:10	-0.8°	105.6°	0.38
02:11	-0.0°	105.8°	0.38
02:12	0.1°	106.0°	0.38
02:13	0.2°	106.1°	0.38
02:14	0.4°	106.3°	0.38
02:15	0.5°	106.5°	0.38
02:16	0.7°	106.7°	0.38
02:17	0.8°	106.9°	0.38
02:18	0.9°	107.0°	0.38
02:19	1.1°	107.2°	0.38
02:20	1.2°	107.4°	0.38
02:21	1.4°	107.6°	0.38
02:22	1.5°	107.8°	0.38
02:23	1.6°	107.9°	0.38
02:24	1.8°	108.1°	0.38
02:25	1.9°	108.3°	0.38
02:26	2.1°	108.5°	0.38
02:27	2.2°	108.7°	0.38
02:28	2.4°	108.8°	0.38
02:29	2.5°	109.0°	0.38
02:30	2.7°	109.2°	0.38
02:31	2.8°	109.4°	0.38
02:32	2.9°	109.6°	0.38
02:33	3.1°	109.7°	0.38
02:34	3.2°	109.9°	0.38
02:35	3.4°	110.1°	0.38
02:36	3.5°	110.3°	0.38
02:37	3.7°	110.5°	0.38
02:38	3.8°	110.7°	0.38
02:39	4.0°	110.8°	0.38
02:40	4.1°	111.0°	0.38
02:41	4.3°	111.2°	0.38
02:42	4.4°	111.4°	0.38
02:43	4.6°	111.6°	0.38
02:44	4.7°	111.8°	0.38
02:45	4.9°	111.9°	0.38
02:46	5.0°	112.1°	0.38
02:47	5.2°	112.3°	0.38
02:48	5.3°	112.5°	0.38
02:49	5.5°	112.7°	0.38
02:50	5.6°	112.9°	0.38
02:51	5.8°	113.0°	0.38
02:52	5.9°	113.2°	0.38
02:53	6.1°	113.4°	0.38
02:54	6.2°	113.6°	0.38
02:55	6.4°	113.8°	0.38
02:56	6.5°	114.0°	0.38
02:57	6.7°	114.2°	0.38
02:58	6.8°	114.3°	0.38
02:59	7.0°	114.5°	0.38
03:00	7.1°	114.7°	0.38
03:01	7.3°	114.9°	0.38
03:02	7.4°	115.1°	0.38
03:03	7.6°	115.3°	0.38
03:04	7.7°	115.5°	0.38
03:05	7.9°	115.7°	0.38
03:06	8.0°	115.9°	0.38
03:07	8.2°	116.0°	0.38
03:08	8.3°	116.2°	0.38
03:09	8.4°	116.4°	0.38
03:10	8.6°	116.6°	0.38
03:11	8.7°	116.8°	0.38
03:12	8.9°	117.0°	0.38
03:13	9.0°	117.2°	0.38
03:14	9.2°	117.4°	0.38
03:15	9.3°	117.6°	0.38
03:16	9.5°	117.8°	0.38
03:17	9.6°	118.0°	0.38
03:18	9.8°	118.1°	0.38
03:19	9.9°	118.3°	0.38
03:20	10.0°	118.5°	0.38
03:21	10.2°	118.7°	0.38
03:22	10.3°	118.9°	0.38
03:23	10.5°	119.1°	0.38
03:24	10.6°	119.3°	0.38
03:25	10.8°	119.5°	0.38
03:26	10.9°	119.7°	0.38
03:27	11.1°	119.9°	0.38
03:28	11.2°	120.1°	0.38
03:29	11.3°	120.3°	0.38
03:30	11.5°	120.5°	0.38
03:31	11.6°	120.7°	0.38
03:32	11.8°	120.9°	0.38
03:33	11.9°	121.1°	0.38
03:34	12.0°	121.3°	0.38
03:35	12.2°	121.5°	0.38
03:36	12.3°	121.7°	0.38
03:37	12.5°	121.9°	0.38
03:38	12.6°	122.1°	0.38
03:39	12.7°	122.3°	0.38
03:40	12.9°	122.5°	0.38
03:41	13.0°	122.7°	0.38
03:42	13.2°	122.9°	0.38
03:43	13.3°	123.1°	0.38
03:44	13.4°	123.3°	0.38
03:45	13.6°	123.5°	0.38
03:46	13.7°	123.7°	0.38
03:47	13.9°	123.9°	0.38
03:48	14.0°	124.1°	0.38
03:49	14.1°	124.3°	0.38
03:50	14.3°	124.5°	0.38
03:51	14.4°	124.7°	0.38
03:52	14.5°	124.9°	0.38
03:53	14.7°	125.1°	0.38
03:54	14.8°	125.3°	0.38
03:55	14.9°	125.5°	0.38
03:56	15.1°	125.7°	0.38
03:57	15.2°	125.9°	0.38
03:58	15.4°	126.1°	0.38
03:59	15.5°	126.3°	0.38
04:00	15.6°	126.5°	0.38
04:01	15.8°	126.7°	0.38
04:02	15.9°	126.9°	0.38
04:03	16.0°	127.1°	0.38
04:04	16.2°	127.3°	0.38
04:05	16.3°	127.6°	0.38
04:06	16.4°	127.8°	0.38
04:07	16.5°	128.0°	0.38
04:08	16.7°	128.2°	0.38
04:09	16.8°	128.4°	0.38
04:10	16.9°	128.6°	0.37
