Altitude and Azimuth of the Moon
N 48° 10', E 11° 30'
2026-03-30
Zone: 1.0 hours East of Greenwich
Time	Altitude	Azimuth (E of N)	Fraction Illuminated
00:00	45.0°	224.0°	0.90
00:01	44.9°	224.3°	0.90
00:02	44.7°	224.6°	0.90
00:03	44.6°	224.9°	0.90
00:04	44.5°	225.2°	0.90
00:05	44.4°	225.5°	0.90
00:06	44.3°	225.8°	0.90
00:07	44.1°	226.1°	0.90
00:08	44.0°	226.4°	0.90
00:09	43.9°	226.7°	0.90
00:10	43.8°	227.0°	0.90
00:11	43.6°	227.2°	0.90
00:12	43.5°	227.5°	0.90
00:13	43.4°	227.8°	0.90
00:14	43.3°	228.1°	0.90
00:15	43.2°	228.4°	0.90
00:16	43.0°	228.7°	0.90
00:17	42.9°	228.9°	0.90
00:18	42.8°	229.2°	0.90
00:19	42.6°	229.5°	0.90
00:20	42.5°	229.8°	0.90
00:21	42.4°	230.0°	0.90
00:22	42.3°	230.3°	0.90
00:23	42.1°	230.6°	0.90
00:24	42.0°	230.9°	0.90
00:25	41.9°	231.1°	0.90
00:26	41.7°	231.4°	0.90
00:27	41.6°	231.7°	0.90
00:28	41.5°	231.9°	0.90
00:29	41.3°	232.2°	0.90
00:30	41.2°	232.5°	0.90
00:31	41.1°	232.7°	0.90
00:32	40.9°	233.0°	0.90
00:33	40.8°	233.3°	0.90
00:34	40.7°	233.5°	0.90
00:35	40.5°	233.8°	0.90
00:36	40.4°	234.0°	0.90
00:37	40.3°	234.3°	0.90
00:38	40.1°	234.6°	0.90
00:39	40.0°	234.8°	0.90
00:40	39.9°	235.1°	0.90
00:41	39.7°	235.3°	0.90
00:42	39.6°	235.6°	0.90
00:43	39.4°	235.8°	0.90
00:44	39.3°	236.1°	0.90
00:45	39.2°	236.4°	0.90
00:46	39.0°	236.6°	0.90
00:47	38.9°	236.9°	0.90
00:48	38.7°	237.1°	0.90
00:49	38.6°	237.4°	0.90
00:50	38.5°	237.6°	0.90
00:51	38.3°	237.9°	0.90
00:52	38.2°	238.1°	0.90
00:53	38.0°	238.3°	0.90
00:54	37.9°	238.6°	0.90
00:55	37.8°	238.8°	0.90
00:56	37.6°	239.1°	0.90
00:57	37.5°	239.3°	0.90
00:58	37.3°	239.6°	0.90
00:59	37.2°	239.8°	0.90
01:00	37.0°	240.0°	0.90
01:01	36.9°	240.3°	0.90
01:02	36.7°	240.5°	0.90
01:03	36.6°	240.8°	0.90
01:04	36.5°	241.0°	0.90
01:05	36.3°	241.2°	0.90
01:06	36.2°	241.5°	0.90
01:07	36.0°	241.7°	0.90
01:08	35.9°	241.9°	0.90
01:09	35.7°	242.2°	0.90
01:10	35.6°	242.4°	0.90
01:11	35.4°	242.6°	0.90
01:12	35.3°	242.9°	0.90
01:13	35.1°	243.1°	0.90
01:14	35.0°	243.3°	0.90
01:15	34.8°	243.6°	0.90
01:16	34.7°	243.8°	0.90
01:17	34.5°	244.0°	0.90
01:18	34.4°	244.2°	0.90
01:19	34.2°	244.5°	0.90
01:20	34.1°	244.7°	0.90
01:21	33.9°	244.9°	0.90
01:22	33.8°	245.1°	0.90
01:23	33.6°	245.4°	0.90
01:24	33.5°	245.6°	0.90
01:25	33.3°	245.8°	0.90
01:26	33.2°	246.0°	0.90
01:27	33.0°	246.3°	0.90
01:28	32.9°	246.5°	0.90
01:29	32.7°	246.7°	0.90
01:30	32.6°	246.9°	0.90
01:31	32.4°	247.1°	0.90
01:32	32.3°	247.4°	0.90
01:33	32.1°	247.6°	0.90
01:34	32.0°	247.8°	0.90
01:35	31.8°	248.0°	0.90
01:36	31.6°	248.2°	0.90
01:37	31.5°	248.4°	0.90
01:38	31.3°	248.7°	0.90
01:39	31.2°	248.9°	0.90
01:40	31.0°	249.1°	0.90
01:41	30.9°	249.3°	0.90
01:42	30.7°	249.5°	0.90
01:43	30.6°	249.7°	0.90
01:44	30.4°	249.9°	0.90
01:45	30.2°	250.1°	0.90
01:46	30.1°	250.4°	0.90
01:47	29.9°	250.6°	0.90
01:48	29.8°	250.8°	0.90
01:49	29.6°	251.0°	0.90
01:50	29.5°	251.2°	0.90
01:51	29.3°	251.4°	0.90
01:52	29.1°	251.6°	0.90
01:53	29.0°	251.8°	0.90
01:54	28.8°	252.0°	0.90
01:55	28.7°	252.2°	0.90
01:56	28.5°	252.4°	0.90
01:57	28.4°	252.6°	0.90
01:58	28.2°	252.8°	0.90
01:59	28.0°	253.0°	0.90
02:00	27.9°	253.2°	0.90
02:01	27.7°	253.4°	0.90
02:02	27.6°	253.6°	0.90
02:03	27.4°	253.8°	0.90
02:04	27.2°	254.0°	0.90
02:05	27.1°	254.2°	0.90
02:06	26.9°	254.5°	0.90
02:07	26.8°	254.7°	0.90
02:08	26.6°	254.9°	0.90
02:09	26.4°	255.0°	0.90
02:10	26.3°	255.2°	0.90
02:11	26.1°	255.4°	0.90
02:12	26.0°	255.6°	0.90
