Altitude and Azimuth of the Moon
N 48° 10', E 11° 30'
2026-03-29
Zone: 1.0 hours East of Greenwich
Time	Altitude	Azimuth (E of N)	Fraction Illuminated
00:00	43.5°	241.6°	0.82
00:01	43.4°	241.9°	0.82
00:02	43.2°	242.1°	0.82
00:03	43.1°	242.4°	0.82
00:04	42.9°	242.6°	0.82
00:05	42.8°	242.9°	0.82
00:06	42.6°	243.1°	0.82
00:07	42.5°	243.4°	0.82
00:08	42.3°	243.6°	0.82
00:09	42.2°	243.9°	0.82
00:10	42.0°	244.1°	0.82
00:11	41.9°	244.3°	0.82
00:12	41.7°	244.6°	0.82
00:13	41.6°	244.8°	0.82
00:14	41.4°	245.1°	0.82
00:15	41.3°	245.3°	0.82
00:16	41.1°	245.5°	0.82
00:17	41.0°	245.8°	0.82
00:18	40.8°	246.0°	0.83
00:19	40.7°	246.2°	0.83
00:20	40.5°	246.5°	0.83
00:21	40.4°	246.7°	0.83
00:22	40.2°	246.9°	0.83
00:23	40.1°	247.2°	0.83
00:24	39.9°	247.4°	0.83
00:25	39.7°	247.6°	0.83
00:26	39.6°	247.9°	0.83
00:27	39.4°	248.1°	0.83
00:28	39.3°	248.3°	0.83
00:29	39.1°	248.5°	0.83
00:30	39.0°	248.8°	0.83
00:31	38.8°	249.0°	0.83
00:32	38.7°	249.2°	0.83
00:33	38.5°	249.4°	0.83
00:34	38.4°	249.7°	0.83
00:35	38.2°	249.9°	0.83
00:36	38.0°	250.1°	0.83
00:37	37.9°	250.3°	0.83
00:38	37.7°	250.5°	0.83
00:39	37.6°	250.8°	0.83
00:40	37.4°	251.0°	0.83
00:41	37.3°	251.2°	0.83
00:42	37.1°	251.4°	0.83
00:43	37.0°	251.6°	0.83
00:44	36.8°	251.9°	0.83
00:45	36.6°	252.1°	0.83
00:46	36.5°	252.3°	0.83
00:47	36.3°	252.5°	0.83
00:48	36.2°	252.7°	0.83
00:49	36.0°	252.9°	0.83
00:50	35.8°	253.1°	0.83
00:51	35.7°	253.3°	0.83
00:52	35.5°	253.6°	0.83
00:53	35.4°	253.8°	0.83
00:54	35.2°	254.0°	0.83
00:55	35.1°	254.2°	0.83
00:56	34.9°	254.4°	0.83
00:57	34.7°	254.6°	0.83
00:58	34.6°	254.8°	0.83
00:59	34.4°	255.0°	0.83
01:00	34.3°	255.2°	0.83
01:01	34.1°	255.4°	0.83
01:02	33.9°	255.6°	0.83
01:03	33.8°	255.8°	0.83
01:04	33.6°	256.0°	0.83
01:05	33.5°	256.2°	0.83
01:06	33.3°	256.4°	0.83
01:07	33.1°	256.7°	0.83
01:08	33.0°	256.9°	0.83
01:09	32.8°	257.1°	0.83
01:10	32.6°	257.3°	0.83
01:11	32.5°	257.5°	0.83
01:12	32.3°	257.7°	0.83
01:13	32.2°	257.9°	0.83
01:14	32.0°	258.1°	0.83
01:15	31.8°	258.3°	0.83
01:16	31.7°	258.5°	0.83
01:17	31.5°	258.6°	0.83
01:18	31.4°	258.8°	0.83
01:19	31.2°	259.0°	0.83
01:20	31.0°	259.2°	0.83
01:21	30.9°	259.4°	0.83
01:22	30.7°	259.6°	0.83
01:23	30.5°	259.8°	0.83
01:24	30.4°	260.0°	0.83
01:25	30.2°	260.2°	0.83
01:26	30.1°	260.4°	0.83
01:27	29.9°	260.6°	0.83
01:28	29.7°	260.8°	0.83
01:29	29.6°	261.0°	0.83
01:30	29.4°	261.2°	0.83
01:31	29.2°	261.4°	0.83
01:32	29.1°	261.6°	0.83
01:33	28.9°	261.7°	0.83
01:34	28.8°	261.9°	0.83
01:35	28.6°	262.1°	0.83
01:36	28.4°	262.3°	0.83
01:37	28.3°	262.5°	0.83
01:38	28.1°	262.7°	0.83
01:39	27.9°	262.9°	0.83
01:40	27.8°	263.1°	0.83
01:41	27.6°	263.3°	0.83
01:42	27.4°	263.4°	0.83
01:43	27.3°	263.6°	0.83
01:44	27.1°	263.8°	0.83
01:45	26.9°	264.0°	0.83
01:46	26.8°	264.2°	0.83
01:47	26.6°	264.4°	0.83
01:48	26.5°	264.6°	0.83
01:49	26.3°	264.7°	0.83
01:50	26.1°	264.9°	0.83
01:51	26.0°	265.1°	0.83
01:52	25.8°	265.3°	0.83
01:53	25.6°	265.5°	0.83
01:54	25.5°	265.7°	0.83
01:55	25.3°	265.9°	0.83
01:56	25.1°	266.0°	0.83
01:57	25.0°	266.2°	0.83
01:58	24.8°	266.4°	0.83
01:59	24.6°	266.6°	0.83
02:00	24.5°	266.8°	0.83
02:01	24.3°	266.9°	0.83
02:02	24.2°	267.1°	0.83
02:03	24.0°	267.3°	0.83
02:04	23.8°	267.5°	0.83
02:05	23.7°	267.7°	0.83
02:06	23.5°	267.8°	0.83
02:07	23.3°	268.0°	0.83
02:08	23.2°	268.2°	0.83
02:09	23.0°	268.4°	0.83
02:10	22.8°	268.6°	0.83
02:11	22.7°	268.7°	0.83
02:12	22.5°	268.9°	0.83
02:13	22.3°	269.1°	0.83
02:14	22.2°	269.3°	0.83
02:15	22.0°	269.5°	0.83
02:16	21.9°	269.6°	0.83
02:17	21.7°	269.8°	0.83
02:18	21.5°	270.0°	0.83
02:19	21.4°	270.2°	0.83
02:20	21.2°	270.3°	0.83
02:21	21.0°	270.5°	0.83
02:22	20.9°	270.7°	0.83
02:23	20.7°	270.9°	0.83
02:24	20.5°	271.1°	0.83
02:25	20.4°	271.2°	0.83
02:26	20.2°	271.4°	0.83
02:27	20.0°	271.6°	0.83
02:28	19.9°	271.8°	0.83
02:29	19.7°	271.9°	0.83
02:30	19.5°	272.1°	0.83
02:31	19.4°	272.3°	0.83
02:32	19.2°	272.5°	0.83
02:33	19.1°	272.6°	0.83
02:34	18.9°	272.8°	0.83
02:35	18.7°	273.0°	0.83
02:36	18.6°	273.2°	0.83
02:37	18.4°	273.3°	0.83
02:38	18.2°	273.5°	0.83
02:39	18.1°	273.7°	0.83
02:40	17.9°	273.8°	0.83
02:41	17.7°	274.0°	0.83
02:42	17.6°	274.2°	0.83
02:43	17.4°	274.4°	0.83
02:44	17.3°	274.5°	0.83
02:45	17.1°	274.7°	0.83
02:46	16.9°	274.9°	0.83
02:47	16.8°	275.1°	0.83
02:48	16.6°	275.2°	0.83
02:49	16.4°	275.4°	0.83
02:50	16.3°	275.6°	0.83
02:51	16.1°	275.8°	0.83
02:52	15.9°	275.9°	0.83
02:53	15.8°	276.1°	0.83
02:54	15.6°	276.3°	0.83
02:55	15.5°	276.4°	0.83
02:56	15.3°	276.6°	0.83
02:57	15.1°	276.8°	0.83
02:58	15.0°	277.0°	0.83
02:59	14.8°	277.1°	0.83
03:00	14.6°	277.3°	0.83
03:01	14.5°	277.5°	0.83
03:02	14.3°	277.6°	0.83
03:03	14.2°	277.8°	0.83
03:04	14.0°	278.0°	0.83
03:05	13.8°	278.2°	0.83
03:06	13.7°	278.3°	0.83
03:07	13.5°	278.5°	0.83
03:08	13.3°	278.7°	0.83
03:09	13.2°	278.8°	0.83
03:10	13.0°	279.0°	0.83
03:11	12.9°	279.2°	0.83
03:12	12.7°	279.4°	0.83
03:13	12.5°	279.5°	0.83
03:14	12.4°	279.7°	0.83
03:15	12.2°	279.9°	0.84
03:16	12.1°	280.0°	0.84
03:17	11.9°	280.2°	0.84
03:18	11.7°	280.4°	0.84
03:19	11.6°	280.6°	0.84
03:20	11.4°	280.7°	0.84
03:21	11.2°	280.9°	0.84
03:22	11.1°	281.1°	0.84
03:23	10.9°	281.2°	0.84
03:24	10.8°	281.4°	0.84
03:25	10.6°	281.6°	0.84
03:26	10.4°	281.8°	0.84
03:27	10.3°	281.9°	0.84
03:28	10.1°	282.1°	0.84
03:29	10.0°	282.3°	0.84
03:30	9.8°	282.4°	0.84
03:31	9.6°	282.6°	0.84
03:32	9.5°	282.8°	0.84
03:33	9.3°	283.0°	0.84
03:34	9.2°	283.1°	0.84
03:35	9.0°	283.3°	0.84
03:36	8.9°	283.5°	0.84
03:37	8.7°	283.6°	0.84
03:38	8.5°	283.8°	0.84
03:39	8.4°	284.0°	0.84
03:40	8.2°	284.1°	0.84
03:41	8.1°	284.3°	0.84
03:42	7.9°	284.5°	0.84
03:43	7.8°	284.7°	0.84
03:44	7.6°	284.8°	0.84
03:45	7.4°	285.0°	0.84
03:46	7.3°	285.2°	0.84
03:47	7.1°	285.4°	0.84
03:48	7.0°	285.5°	0.84
03:49	6.8°	285.7°	0.84
03:50	6.7°	285.9°	0.84
03:51	6.5°	286.0°	0.84
03:52	6.3°	286.2°	0.84
03:53	6.2°	286.4°	0.84
03:54	6.0°	286.6°	0.84
03:55	5.9°	286.7°	0.84
03:56	5.7°	286.9°	0.84
03:57	5.6°	287.1°	0.84
03:58	5.4°	287.2°	0.84
03:59	5.3°	287.4°	0.84
04:00	5.1°	287.6°	0.84
04:01	5.0°	287.8°	0.84
04:02	4.8°	287.9°	0.84
04:03	4.7°	288.1°	0.84
04:04	4.5°	288.3°	0.84
04:05	4.4°	288.5°	0.84
04:06	4.2°	288.6°	0.84
04:07	4.1°	288.8°	0.84
04:08	3.9°	289.0°	0.84
04:09	3.8°	289.1°	0.84
04:10	3.6°	289.3°	0.84
04:11	3.5°	289.5°	0.84
04:12	3.3°	289.7°	0.84
04:13	3.2°	289.8°	0.84
04:14	3.0°	290.0°	0.84
04:15	2.9°	290.2°	0.84
04:16	2.7°	290.4°	0.84
04:17	2.6°	290.5°	0.84
04:18	2.4°	290.7°	0.84
04:19	2.3°	290.9°	0.84
04:20	2.1°	291.1°	0.84
04:21	2.0°	291.2°	0.84
04:22	1.9°	291.4°	0.84
04:23	1.7°	291.6°	0.84
04:24	1.6°	291.8°	0.84
04:25	1.4°	291.9°	0.84
04:26	1.3°	292.1°	0.84
04:27	1.2°	292.3°	0.84
04:28	1.0°	292.5°	0.84
04:29	0.9°	292.6°	0.84
04:30	0.8°	292.8°	0.84
04:31	0.6°	293.0°	0.84
04:32	0.5°	293.2°	0.84
04:33	0.4°	293.3°	0.84
04:34	0.2°	293.5°	0.84
04:35	0.1°	293.7°	0.84
04:36	-0.0°	293.9°	0.84
04:37	-0.1°	294.1°	0.84
04:38	-0.9°	294.2°	0.84
04:39	-1.0°	294.4°	0.84
04:40	-1.2°	294.6°	0.84
04:41	-1.3°	294.8°	0.84
04:42	-1.5°	294.9°	0.84
04:43	-1.6°	295.1°	0.84
04:44	-1.8°	295.3°	0.84
04:45	-1.9°	295.5°	0.84
04:46	-2.1°	295.7°	0.84
04:47	-2.2°	295.8°	0.84
04:48	-2.4°	296.0°	0.84
04:49	-2.5°	296.2°	0.84
04:50	-2.7°	296.4°	0.84
04:51	-2.8°	296.6°	0.84
04:52	-3.0°	296.7°	0.84
04:53	-3.1°	296.9°	0.84
04:54	-3.3°	297.1°	0.84
04:55	-3.4°	297.3°	0.84
04:56	-3.5°	297.5°	0.84
04:57	-3.7°	297.6°	0.84
04:58	-3.8°	297.8°	0.84
04:59	-4.0°	298.0°	0.84
05:00	-4.1°	298.2°	0.84
05:01	-4.3°	298.4°	0.84
05:02	-4.4°	298.6°	0.84
05:03	-4.6°	298.7°	0.84
05:04	-4.7°	298.9°	0.84
05:05	-4.8°	299.1°	0.84
05:06	-5.0°	299.3°	0.84
05:07	-5.1°	299.5°	0.84
05:08	-5.3°	299.7°	0.84
05:09	-5.4°	299.8°	0.84
05:10	-5.6°	300.0°	0.84
05:11	-5.7°	300.2°	0.84
05:12	-5.8°	300.4°	0.84
05:13	-6.0°	300.6°	0.84
05:14	-6.1°	300.8°	0.84
05:15	-6.3°	300.9°	0.84
05:16	-6.4°	301.1°	0.84
05:17	-6.6°	301.3°	0.84
05:18	-6.7°	301.5°	0.84
05:19	-6.8°	301.7°	0.84
05:20	-7.0°	301.9°	0.84
05:21	-7.1°	302.1°	0.84
05:22	-7.3°	302.3°	0.84
05:23	-7.4°	302.4°	0.84
05:24	-7.5°	302.6°	0.84
05:25	-7.7°	302.8°	0.84
05:26	-7.8°	303.0°	0.84
05:27	-7.9°	303.2°	0.84
05:28	-8.1°	303.4°	0.84
05:29	-8.2°	303.6°	0.84
05:30	-8.4°	303.8°	0.84
05:31	-8.5°	304.0°	0.84
05:32	-8.6°	304.1°	0.84
05:33	-8.8°	304.3°	0.84
05:34	-8.9°	304.5°	0.84
05:35	-9.0°	304.7°	0.84
05:36	-9.2°	304.9°	0.84
05:37	-9.3°	305.1°	0.84
05:38	-9.4°	305.3°	0.84
05:39	-9.6°	305.5°	0.84
05:40	-9.7°	305.7°	0.84
05:41	-9.8°	305.9°	0.84
05:42	-10.0°	306.1°	0.84
05:43	-10.1°	306.3°	0.84
05:44	-10.2°	306.4°	0.84
05:45	-10.4°	306.6°	0.84
05:46	-10.5°	306.8°	0.84
05:47	-10.6°	307.0°	0.84
05:48	-10.8°	307.2°	0.84
05:49	-10.9°	307.4°	0.84
05:50	-11.0°	307.6°	0.84
05:51	-11.2°	307.8°	0.84
05:52	-11.3°	308.0°	0.84
05:53	-11.4°	308.2°	0.84
05:54	-11.6°	308.4°	0.84
05:55	-11.7°	308.6°	0.84
05:56	-11.8°	308.8°	0.84
05:57	-11.9°	309.0°	0.84
Object has dropped more than 12 degrees below the horizon			
13:21	-12.0°	54.1°	0.87
13:22	-11.9°	54.3°	0.87
13:23	-11.7°	54.5°	0.87
13:24	-11.6°	54.7°	0.87
13:25	-11.5°	54.9°	0.87
13:26	-11.4°	55.1°	0.87
13:27	-11.2°	55.3°	0.87
13:28	-11.1°	55.5°	0.87
13:29	-11.0°	55.7°	0.87
13:30	-10.8°	55.9°	0.87
13:31	-10.7°	56.1°	0.87
13:32	-10.6°	56.3°	0.87
13:33	-10.4°	56.5°	0.87
13:34	-10.3°	56.7°	0.87
13:35	-10.2°	56.9°	0.87
13:36	-10.0°	57.1°	0.87
13:37	-9.9°	57.3°	0.87
13:38	-9.8°	57.5°	0.87
13:39	-9.6°	57.7°	0.87
13:40	-9.5°	57.9°	0.87
13:41	-9.4°	58.1°	0.87
13:42	-9.2°	58.3°	0.87
13:43	-9.1°	58.5°	0.87
13:44	-9.0°	58.7°	0.87
13:45	-8.8°	58.8°	0.87
13:46	-8.7°	59.0°	0.87
13:47	-8.6°	59.2°	0.87
13:48	-8.4°	59.4°	0.87
13:49	-8.3°	59.6°	0.87
13:50	-8.2°	59.8°	0.87
13:51	-8.0°	60.0°	0.87
13:52	-7.9°	60.2°	0.87
13:53	-7.8°	60.4°	0.87
13:54	-7.6°	60.6°	0.87
13:55	-7.5°	60.8°	0.87
13:56	-7.3°	61.0°	0.87
13:57	-7.2°	61.2°	0.87
13:58	-7.1°	61.4°	0.87
13:59	-6.9°	61.5°	0.87
14:00	-6.8°	61.7°	0.87
14:01	-6.7°	61.9°	0.87
14:02	-6.5°	62.1°	0.87
14:03	-6.4°	62.3°	0.87
