Altitude and Azimuth of the Moon
N 48° 10', E 11° 30'
2026-05-30
Zone: 1.0 hours East of Greenwich
Time	Altitude	Azimuth (E of N)	Fraction Illuminated
00:00	16.5°	194.0°	0.98
00:01	16.5°	194.2°	0.98
00:02	16.5°	194.5°	0.98
00:03	16.4°	194.7°	0.98
00:04	16.4°	194.9°	0.98
00:05	16.3°	195.1°	0.98
00:06	16.3°	195.4°	0.98
00:07	16.2°	195.6°	0.98
00:08	16.2°	195.8°	0.98
00:09	16.1°	196.1°	0.98
00:10	16.1°	196.3°	0.98
00:11	16.0°	196.5°	0.98
00:12	16.0°	196.7°	0.98
00:13	15.9°	197.0°	0.98
00:14	15.9°	197.2°	0.98
00:15	15.8°	197.4°	0.98
00:16	15.8°	197.6°	0.98
00:17	15.7°	197.9°	0.98
00:18	15.7°	198.1°	0.98
00:19	15.6°	198.3°	0.98
00:20	15.6°	198.5°	0.98
00:21	15.5°	198.8°	0.98
00:22	15.5°	199.0°	0.98
00:23	15.4°	199.2°	0.98
00:24	15.4°	199.4°	0.98
00:25	15.3°	199.7°	0.98
00:26	15.3°	199.9°	0.98
00:27	15.2°	200.1°	0.98
00:28	15.1°	200.3°	0.98
00:29	15.1°	200.6°	0.98
00:30	15.0°	200.8°	0.98
00:31	15.0°	201.0°	0.98
00:32	14.9°	201.2°	0.98
00:33	14.8°	201.4°	0.98
00:34	14.8°	201.7°	0.98
00:35	14.7°	201.9°	0.98
00:36	14.7°	202.1°	0.98
00:37	14.6°	202.3°	0.98
00:38	14.5°	202.5°	0.98
00:39	14.5°	202.8°	0.98
00:40	14.4°	203.0°	0.98
00:41	14.3°	203.2°	0.98
00:42	14.3°	203.4°	0.98
00:43	14.2°	203.6°	0.98
00:44	14.1°	203.9°	0.98
00:45	14.1°	204.1°	0.98
00:46	14.0°	204.3°	0.98
00:47	13.9°	204.5°	0.98
00:48	13.9°	204.7°	0.98
00:49	13.8°	205.0°	0.98
00:50	13.7°	205.2°	0.98
00:51	13.6°	205.4°	0.98
00:52	13.6°	205.6°	0.98
00:53	13.5°	205.8°	0.98
00:54	13.4°	206.0°	0.98
00:55	13.4°	206.3°	0.98
00:56	13.3°	206.5°	0.98
00:57	13.2°	206.7°	0.98
00:58	13.1°	206.9°	0.98
00:59	13.1°	207.1°	0.98
01:00	13.0°	207.3°	0.98
01:01	12.9°	207.6°	0.98
01:02	12.8°	207.8°	0.98
01:03	12.8°	208.0°	0.98
01:04	12.7°	208.2°	0.98
01:05	12.6°	208.4°	0.98
01:06	12.5°	208.6°	0.98
01:07	12.4°	208.8°	0.98
01:08	12.4°	209.0°	0.98
01:09	12.3°	209.3°	0.98
01:10	12.2°	209.5°	0.98
01:11	12.1°	209.7°	0.98
01:12	12.0°	209.9°	0.98
01:13	12.0°	210.1°	0.98
01:14	11.9°	210.3°	0.98
01:15	11.8°	210.5°	0.98
01:16	11.7°	210.7°	0.98
01:17	11.6°	210.9°	0.98
01:18	11.5°	211.2°	0.98
01:19	11.4°	211.4°	0.98
01:20	11.4°	211.6°	0.98
01:21	11.3°	211.8°	0.98
01:22	11.2°	212.0°	0.98
01:23	11.1°	212.2°	0.98
01:24	11.0°	212.4°	0.98
01:25	10.9°	212.6°	0.98
01:26	10.8°	212.8°	0.98
01:27	10.7°	213.0°	0.98
01:28	10.7°	213.2°	0.98
01:29	10.6°	213.4°	0.98
01:30	10.5°	213.7°	0.98
01:31	10.4°	213.9°	0.98
01:32	10.3°	214.1°	0.98
01:33	10.2°	214.3°	0.98
01:34	10.1°	214.5°	0.98
01:35	10.0°	214.7°	0.98
01:36	9.9°	214.9°	0.98
01:37	9.8°	215.1°	0.98
01:38	9.7°	215.3°	0.98
01:39	9.6°	215.5°	0.98
01:40	9.5°	215.7°	0.98
01:41	9.4°	215.9°	0.98
01:42	9.3°	216.1°	0.98
01:43	9.3°	216.3°	0.98
01:44	9.2°	216.5°	0.98
01:45	9.1°	216.7°	0.98
01:46	9.0°	216.9°	0.98
01:47	8.9°	217.1°	0.98
01:48	8.8°	217.3°	0.98
01:49	8.7°	217.5°	0.98
01:50	8.6°	217.7°	0.98
01:51	8.5°	217.9°	0.98
01:52	8.4°	218.1°	0.98
01:53	8.3°	218.3°	0.98
01:54	8.2°	218.5°	0.98
01:55	8.1°	218.7°	0.98
01:56	8.0°	218.9°	0.98
01:57	7.9°	219.1°	0.98
01:58	7.8°	219.3°	0.98
01:59	7.6°	219.5°	0.98
02:00	7.5°	219.7°	0.98
02:01	7.4°	219.9°	0.98
02:02	7.3°	220.1°	0.98
02:03	7.2°	220.3°	0.98
02:04	7.1°	220.5°	0.98
02:05	7.0°	220.7°	0.98
02:06	6.9°	220.9°	0.98
02:07	6.8°	221.1°	0.98
02:08	6.7°	221.3°	0.98
02:09	6.6°	221.5°	0.98
02:10	6.5°	221.7°	0.98
02:11	6.4°	221.9°	0.98
02:12	6.3°	222.1°	0.98
02:13	6.2°	222.2°	0.98
02:14	6.1°	222.4°	0.98
02:15	5.9°	222.6°	0.98
02:16	5.8°	222.8°	0.98
02:17	5.7°	223.0°	0.98
02:18	5.6°	223.2°	0.98
02:19	5.5°	223.4°	0.98
02:20	5.4°	223.6°	0.98
02:21	5.3°	223.8°	0.98
02:22	5.2°	224.0°	0.98
02:23	5.1°	224.2°	0.98
02:24	4.9°	224.4°	0.98
02:25	4.8°	224.6°	0.98
02:26	4.7°	224.7°	0.98
02:27	4.6°	224.9°	0.98
02:28	4.5°	225.1°	0.98
02:29	4.4°	225.3°	0.98
02:30	4.3°	225.5°	0.98
02:31	4.2°	225.7°	0.98
02:32	4.0°	225.9°	0.98
02:33	3.9°	226.1°	0.98
02:34	3.8°	226.3°	0.98
02:35	3.7°	226.4°	0.98
02:36	3.6°	226.6°	0.98
02:37	3.5°	226.8°	0.98
02:38	3.4°	227.0°	0.98
02:39	3.2°	227.2°	0.98
02:40	3.1°	227.4°	0.98
02:41	3.0°	227.6°	0.98
02:42	2.9°	227.7°	0.98
02:43	2.8°	227.9°	0.98
02:44	2.7°	228.1°	0.98
02:45	2.6°	228.3°	0.98
02:46	2.4°	228.5°	0.98
02:47	2.3°	228.7°	0.98
02:48	2.2°	228.9°	0.98
02:49	2.1°	229.0°	0.98
02:50	2.0°	229.2°	0.98
02:51	1.9°	229.4°	0.98
02:52	1.7°	229.6°	0.98
02:53	1.6°	229.8°	0.98
02:54	1.5°	230.0°	0.98
02:55	1.4°	230.1°	0.98
02:56	1.3°	230.3°	0.98
02:57	1.2°	230.5°	0.98
02:58	1.1°	230.7°	0.98
02:59	1.0°	230.9°	0.98
03:00	0.8°	231.1°	0.98
03:01	0.7°	231.2°	0.98
03:02	0.6°	231.4°	0.98
03:03	0.5°	231.6°	0.98
03:04	0.4°	231.8°	0.98
03:05	0.3°	232.0°	0.98
03:06	0.2°	232.1°	0.98
03:07	0.1°	232.3°	0.98
03:08	-0.0°	232.5°	0.98
03:09	-0.7°	232.7°	0.98
03:10	-0.9°	232.9°	0.98
03:11	-1.0°	233.0°	0.98
03:12	-1.1°	233.2°	0.98
03:13	-1.3°	233.4°	0.98
03:14	-1.4°	233.6°	0.98
03:15	-1.5°	233.7°	0.98
03:16	-1.7°	233.9°	0.98
03:17	-1.8°	234.1°	0.98
03:18	-1.9°	234.3°	0.98
03:19	-2.1°	234.5°	0.98
03:20	-2.2°	234.6°	0.98
03:21	-2.3°	234.8°	0.98
03:22	-2.5°	235.0°	0.98
03:23	-2.6°	235.2°	0.98
03:24	-2.7°	235.3°	0.98
03:25	-2.9°	235.5°	0.98
03:26	-3.0°	235.7°	0.98
03:27	-3.1°	235.9°	0.98
03:28	-3.3°	236.0°	0.98
03:29	-3.4°	236.2°	0.98
03:30	-3.5°	236.4°	0.98
03:31	-3.7°	236.6°	0.98
03:32	-3.8°	236.7°	0.98
03:33	-3.9°	236.9°	0.98
03:34	-4.1°	237.1°	0.98
03:35	-4.2°	237.3°	0.98
03:36	-4.4°	237.4°	0.98
03:37	-4.5°	237.6°	0.98
03:38	-4.6°	237.8°	0.98
03:39	-4.8°	238.0°	0.98
