Altitude and Azimuth of the Moon
N 48° 10', E 11° 30'
2026-03-15
Zone: 1.0 hours East of Greenwich
Time	Altitude	Azimuth (E of N)	Fraction Illuminated
03:50	-12.0°	110.0°	0.17
03:51	-11.8°	110.2°	0.17
03:52	-11.7°	110.3°	0.17
03:53	-11.5°	110.5°	0.17
03:54	-11.4°	110.7°	0.17
03:55	-11.2°	110.8°	0.17
03:56	-11.1°	111.0°	0.17
03:57	-10.9°	111.2°	0.17
03:58	-10.8°	111.3°	0.17
03:59	-10.6°	111.5°	0.17
04:00	-10.5°	111.7°	0.17
04:01	-10.3°	111.8°	0.17
04:02	-10.2°	112.0°	0.17
04:03	-10.0°	112.2°	0.17
04:04	-9.9°	112.3°	0.17
04:05	-9.7°	112.5°	0.17
04:06	-9.6°	112.7°	0.17
04:07	-9.4°	112.8°	0.17
04:08	-9.3°	113.0°	0.17
04:09	-9.1°	113.2°	0.17
04:10	-9.0°	113.4°	0.17
04:11	-8.8°	113.5°	0.17
04:12	-8.7°	113.7°	0.17
04:13	-8.5°	113.9°	0.17
04:14	-8.4°	114.0°	0.17
04:15	-8.2°	114.2°	0.17
04:16	-8.1°	114.4°	0.17
04:17	-7.9°	114.5°	0.17
04:18	-7.8°	114.7°	0.17
04:19	-7.6°	114.9°	0.17
04:20	-7.5°	115.1°	0.17
04:21	-7.3°	115.2°	0.17
04:22	-7.2°	115.4°	0.17
04:23	-7.0°	115.6°	0.17
04:24	-6.9°	115.7°	0.17
04:25	-6.7°	115.9°	0.17
04:26	-6.6°	116.1°	0.17
04:27	-6.4°	116.2°	0.17
04:28	-6.3°	116.4°	0.17
04:29	-6.1°	116.6°	0.17
04:30	-6.0°	116.8°	0.17
04:31	-5.9°	116.9°	0.17
04:32	-5.7°	117.1°	0.17
04:33	-5.6°	117.3°	0.17
04:34	-5.4°	117.5°	0.17
04:35	-5.3°	117.6°	0.17
04:36	-5.1°	117.8°	0.17
04:37	-5.0°	118.0°	0.17
04:38	-4.8°	118.1°	0.17
04:39	-4.7°	118.3°	0.17
04:40	-4.6°	118.5°	0.17
04:41	-4.4°	118.7°	0.17
04:42	-4.3°	118.8°	0.17
04:43	-4.1°	119.0°	0.17
04:44	-4.0°	119.2°	0.17
04:45	-3.8°	119.4°	0.17
04:46	-3.7°	119.5°	0.17
04:47	-3.6°	119.7°	0.17
04:48	-3.4°	119.9°	0.17
04:49	-3.3°	120.1°	0.17
04:50	-3.1°	120.2°	0.17
04:51	-3.0°	120.4°	0.17
04:52	-2.8°	120.6°	0.17
04:53	-2.7°	120.8°	0.17
04:54	-2.6°	120.9°	0.17
04:55	-2.4°	121.1°	0.17
04:56	-2.3°	121.3°	0.17
04:57	-2.1°	121.5°	0.17
04:58	-2.0°	121.6°	0.17
04:59	-1.9°	121.8°	0.17
05:00	-1.7°	122.0°	0.17
05:01	-1.6°	122.2°	0.17
05:02	-1.4°	122.3°	0.17
05:03	-1.3°	122.5°	0.17
05:04	-1.2°	122.7°	0.17
05:05	-1.0°	122.9°	0.17
05:06	-0.9°	123.1°	0.17
05:07	-0.8°	123.2°	0.17
05:08	-0.0°	123.4°	0.17
05:09	0.1°	123.6°	0.17
05:10	0.2°	123.8°	0.17
05:11	0.3°	124.0°	0.17
05:12	0.4°	124.1°	0.17
05:13	0.5°	124.3°	0.17
05:14	0.6°	124.5°	0.17
05:15	0.8°	124.7°	0.17
05:16	0.9°	124.9°	0.17
05:17	1.0°	125.0°	0.16
05:18	1.1°	125.2°	0.16
05:19	1.2°	125.4°	0.16
