Altitude and Azimuth of the Moon
N 48° 10', E 11° 30'
2026-03-18
Zone: 1.0 hours East of Greenwich
Time	Altitude	Azimuth (E of N)	Fraction Illuminated
04:55	-11.9°	85.1°	0.01
04:56	-11.7°	85.3°	0.01
04:57	-11.6°	85.4°	0.01
04:58	-11.4°	85.6°	0.01
04:59	-11.2°	85.8°	0.01
05:00	-11.1°	86.0°	0.01
05:01	-10.9°	86.2°	0.01
05:02	-10.7°	86.3°	0.01
05:03	-10.6°	86.5°	0.01
05:04	-10.4°	86.7°	0.01
05:05	-10.2°	86.9°	0.01
05:06	-10.1°	87.0°	0.01
05:07	-9.9°	87.2°	0.01
05:08	-9.8°	87.4°	0.01
05:09	-9.6°	87.6°	0.01
05:10	-9.4°	87.8°	0.01
05:11	-9.3°	87.9°	0.01
05:12	-9.1°	88.1°	0.01
05:13	-8.9°	88.3°	0.01
05:14	-8.8°	88.5°	0.01
05:15	-8.6°	88.7°	0.01
05:16	-8.4°	88.8°	0.01
05:17	-8.3°	89.0°	0.01
05:18	-8.1°	89.2°	0.01
05:19	-7.9°	89.4°	0.01
05:20	-7.8°	89.5°	0.01
05:21	-7.6°	89.7°	0.01
05:22	-7.5°	89.9°	0.01
05:23	-7.3°	90.1°	0.01
05:24	-7.1°	90.3°	0.01
05:25	-7.0°	90.4°	0.01
05:26	-6.8°	90.6°	0.01
05:27	-6.6°	90.8°	0.01
05:28	-6.5°	91.0°	0.01
05:29	-6.3°	91.1°	0.01
05:30	-6.1°	91.3°	0.01
05:31	-6.0°	91.5°	0.01
05:32	-5.8°	91.7°	0.01
05:33	-5.6°	91.8°	0.01
05:34	-5.5°	92.0°	0.01
05:35	-5.3°	92.2°	0.01
05:36	-5.2°	92.4°	0.01
05:37	-5.0°	92.6°	0.01
05:38	-4.8°	92.7°	0.01
05:39	-4.7°	92.9°	0.01
05:40	-4.5°	93.1°	0.01
05:41	-4.3°	93.3°	0.01
05:42	-4.2°	93.4°	0.01
05:43	-4.0°	93.6°	0.01
05:44	-3.8°	93.8°	0.01
05:45	-3.7°	94.0°	0.01
05:46	-3.5°	94.1°	0.01
05:47	-3.3°	94.3°	0.01
05:48	-3.2°	94.5°	0.01
05:49	-3.0°	94.7°	0.01
05:50	-2.8°	94.9°	0.01
05:51	-2.7°	95.0°	0.01
05:52	-2.5°	95.2°	0.01
05:53	-2.4°	95.4°	0.01
05:54	-2.2°	95.6°	0.01
05:55	-2.0°	95.7°	0.01
05:56	-1.9°	95.9°	0.01
05:57	-1.7°	96.1°	0.01
05:58	-1.5°	96.3°	0.01
05:59	-1.4°	96.5°	0.01
06:00	-1.2°	96.6°	0.01
06:01	-1.0°	96.8°	0.01
06:02	-0.9°	97.0°	0.01
06:03	-0.1°	97.2°	0.01
06:04	0.0°	97.3°	0.01
06:05	0.2°	97.5°	0.01
06:06	0.3°	97.7°	0.01
06:07	0.4°	97.9°	0.01
06:08	0.6°	98.0°	0.01
06:09	0.7°	98.2°	0.01
06:10	0.9°	98.4°	0.01
06:11	1.0°	98.6°	0.01
06:12	1.1°	98.8°	0.01
06:13	1.3°	98.9°	0.01
06:14	1.4°	99.1°	0.01
06:15	1.6°	99.3°	0.01
06:16	1.7°	99.5°	0.01
06:17	1.9°	99.7°	0.01
06:18	2.0°	99.8°	0.01
06:19	2.2°	100.0°	0.01
06:20	2.3°	100.2°	0.01
06:21	2.5°	100.4°	0.01
06:22	2.6°	100.5°	0.01
06:23	2.8°	100.7°	0.01
06:24	2.9°	100.9°	0.01
06:25	3.1°	101.1°	0.01
06:26	3.3°	101.3°	0.01
06:27	3.4°	101.4°	0.01
06:28	3.6°	101.6°	0.01
06:29	3.7°	101.8°	0.01
06:30	3.9°	102.0°	0.01
06:31	4.0°	102.2°	0.01
06:32	4.2°	102.3°	0.01
06:33	4.3°	102.5°	0.01
06:34	4.5°	102.7°	0.01
06:35	4.7°	102.9°	0.01
06:36	4.8°	103.1°	0.01
06:37	5.0°	103.3°	0.01
06:38	5.1°	103.4°	0.01
06:39	5.3°	103.6°	0.01
06:40	5.4°	103.8°	0.01
06:41	5.6°	104.0°	0.01
06:42	5.8°	104.2°	0.01
06:43	5.9°	104.3°	0.01
06:44	6.1°	104.5°	0.01
06:45	6.2°	104.7°	0.01
06:46	6.4°	104.9°	0.01
06:47	6.5°	105.1°	0.01
06:48	6.7°	105.3°	0.01
06:49	6.9°	105.4°	0.01
06:50	7.0°	105.6°	0.01
06:51	7.2°	105.8°	0.01
06:52	7.3°	106.0°	0.01
06:53	7.5°	106.2°	0.01
06:54	7.6°	106.4°	0.01
06:55	7.8°	106.5°	0.01
06:56	7.9°	106.7°	0.01
06:57	8.1°	106.9°	0.01
06:58	8.3°	107.1°	0.01
06:59	8.4°	107.3°	0.01
07:00	8.6°	107.5°	0.01
07:01	8.7°	107.7°	0.01
07:02	8.9°	107.8°	0.01
07:03	9.0°	108.0°	0.01
07:04	9.2°	108.2°	0.01
07:05	9.4°	108.4°	0.01
07:06	9.5°	108.6°	0.01
07:07	9.7°	108.8°	0.01
07:08	9.8°	109.0°	0.01
07:09	10.0°	109.1°	0.01
07:10	10.1°	109.3°	0.01
07:11	10.3°	109.5°	0.01
07:12	10.4°	109.7°	0.01
07:13	10.6°	109.9°	0.01
07:14	10.8°	110.1°	0.01
07:15	10.9°	110.3°	0.01
07:16	11.1°	110.5°	0.01
07:17	11.2°	110.7°	0.01
07:18	11.4°	110.8°	0.01
07:19	11.5°	111.0°	0.01
07:20	11.7°	111.2°	0.01
07:21	11.8°	111.4°	0.01
07:22	12.0°	111.6°	0.01
07:23	12.1°	111.8°	0.01
07:24	12.3°	112.0°	0.01
07:25	12.4°	112.2°	0.01
07:26	12.6°	112.4°	0.01
07:27	12.7°	112.6°	0.01
07:28	12.9°	112.8°	0.01
07:29	13.1°	113.0°	0.01
07:30	13.2°	113.2°	0.01
07:31	13.4°	113.3°	0.01
07:32	13.5°	113.5°	0.01
07:33	13.7°	113.7°	0.01
07:34	13.8°	113.9°	0.01
07:35	14.0°	114.1°	0.01
07:36	14.1°	114.3°	0.01
07:37	14.3°	114.5°	0.01
07:38	14.4°	114.7°	0.01
07:39	14.6°	114.9°	0.01
07:40	14.7°	115.1°	0.01
07:41	14.9°	115.3°	0.01
07:42	15.0°	115.5°	0.01
07:43	15.2°	115.7°	0.01
07:44	15.3°	115.9°	0.01
07:45	15.5°	116.1°	0.01
07:46	15.6°	116.3°	0.01
07:47	15.8°	116.5°	0.01
07:48	15.9°	116.7°	0.01
07:49	16.1°	116.9°	0.01
07:50	16.2°	117.1°	0.01
07:51	16.3°	117.3°	0.01
07:52	16.5°	117.5°	0.01
07:53	16.6°	117.7°	0.01
07:54	16.8°	117.9°	0.01
07:55	16.9°	118.1°	0.01
07:56	17.1°	118.3°	0.01
07:57	17.2°	118.5°	0.01
07:58	17.4°	118.7°	0.01
07:59	17.5°	118.9°	0.01
08:00	17.7°	119.1°	0.01
08:01	17.8°	119.3°	0.01
08:02	18.0°	119.5°	0.01
08:03	18.1°	119.7°	0.01
08:04	18.2°	119.9°	0.01
08:05	18.4°	120.1°	0.01
08:06	18.5°	120.3°	0.01
08:07	18.7°	120.5°	0.01
08:08	18.8°	120.8°	0.01
08:09	19.0°	121.0°	0.01
08:10	19.1°	121.2°	0.01
08:11	19.2°	121.4°	0.01
08:12	19.4°	121.6°	0.01
08:13	19.5°	121.8°	0.01
08:14	19.7°	122.0°	0.01
08:15	19.8°	122.2°	0.01
08:16	20.0°	122.4°	0.01
08:17	20.1°	122.6°	0.01
08:18	20.2°	122.8°	0.01
08:19	20.4°	123.1°	0.01
08:20	20.5°	123.3°	0.01
08:21	20.6°	123.5°	0.01
08:22	20.8°	123.7°	0.01
08:23	20.9°	123.9°	0.01
08:24	21.1°	124.1°	0.01
08:25	21.2°	124.3°	0.01
08:26	21.3°	124.6°	0.01
08:27	21.5°	124.8°	0.01
08:28	21.6°	125.0°	0.01
08:29	21.8°	125.2°	0.01
08:30	21.9°	125.4°	0.01
08:31	22.0°	125.6°	0.01
08:32	22.2°	125.9°	0.01
08:33	22.3°	126.1°	0.01
08:34	22.4°	126.3°	0.01
08:35	22.6°	126.5°	0.01
08:36	22.7°	126.7°	0.01
08:37	22.8°	127.0°	0.01
