Altitude and Azimuth of the Moon
N 48° 10', E 11° 30'
2026-05-22
Zone: 1.0 hours East of Greenwich
Time	Altitude	Azimuth (E of N)	Fraction Illuminated
00:00	6.2°	291.0°	0.34
00:01	6.0°	291.1°	0.34
00:02	5.9°	291.3°	0.34
00:03	5.7°	291.5°	0.34
00:04	5.6°	291.6°	0.34
00:05	5.4°	291.8°	0.34
00:06	5.3°	292.0°	0.34
00:07	5.1°	292.2°	0.34
00:08	5.0°	292.3°	0.34
00:09	4.8°	292.5°	0.34
00:10	4.7°	292.7°	0.34
00:11	4.5°	292.8°	0.34
00:12	4.4°	293.0°	0.34
00:13	4.2°	293.2°	0.34
00:14	4.1°	293.4°	0.34
00:15	3.9°	293.5°	0.34
00:16	3.8°	293.7°	0.34
00:17	3.6°	293.9°	0.34
00:18	3.5°	294.0°	0.34
00:19	3.4°	294.2°	0.34
00:20	3.2°	294.4°	0.34
00:21	3.1°	294.6°	0.34
00:22	2.9°	294.7°	0.34
00:23	2.8°	294.9°	0.34
00:24	2.6°	295.1°	0.34
00:25	2.5°	295.3°	0.34
00:26	2.4°	295.4°	0.34
00:27	2.2°	295.6°	0.34
00:28	2.1°	295.8°	0.34
00:29	2.0°	296.0°	0.34
00:30	1.8°	296.1°	0.34
00:31	1.7°	296.3°	0.34
00:32	1.6°	296.5°	0.34
00:33	1.4°	296.7°	0.34
00:34	1.3°	296.8°	0.34
00:35	1.2°	297.0°	0.34
00:36	1.0°	297.2°	0.34
00:37	0.9°	297.4°	0.34
00:38	0.8°	297.5°	0.34
00:39	0.6°	297.7°	0.34
00:40	0.5°	297.9°	0.34
00:41	0.4°	298.1°	0.34
00:42	0.3°	298.2°	0.34
00:43	0.2°	298.4°	0.34
00:44	0.0°	298.6°	0.34
00:45	-0.1°	298.8°	0.34
00:46	-0.8°	298.9°	0.34
00:47	-1.0°	299.1°	0.34
00:48	-1.1°	299.3°	0.34
00:49	-1.2°	299.5°	0.34
00:50	-1.4°	299.7°	0.34
00:51	-1.5°	299.8°	0.34
00:52	-1.7°	300.0°	0.34
00:53	-1.8°	300.2°	0.34
00:54	-2.0°	300.4°	0.34
00:55	-2.1°	300.5°	0.34
00:56	-2.2°	300.7°	0.34
00:57	-2.4°	300.9°	0.34
00:58	-2.5°	301.1°	0.34
00:59	-2.7°	301.3°	0.34
01:00	-2.8°	301.4°	0.34
01:01	-2.9°	301.6°	0.34
01:02	-3.1°	301.8°	0.34
01:03	-3.2°	302.0°	0.34
01:04	-3.4°	302.2°	0.34
01:05	-3.5°	302.3°	0.34
01:06	-3.6°	302.5°	0.34
01:07	-3.8°	302.7°	0.34
01:08	-3.9°	302.9°	0.34
01:09	-4.1°	303.1°	0.34
01:10	-4.2°	303.3°	0.34
01:11	-4.3°	303.4°	0.34
01:12	-4.5°	303.6°	0.34
01:13	-4.6°	303.8°	0.34
01:14	-4.7°	304.0°	0.34
01:15	-4.9°	304.2°	0.34
01:16	-5.0°	304.4°	0.34
01:17	-5.1°	304.5°	0.34
01:18	-5.3°	304.7°	0.34
01:19	-5.4°	304.9°	0.34
01:20	-5.5°	305.1°	0.34
01:21	-5.7°	305.3°	0.34
01:22	-5.8°	305.5°	0.34
01:23	-5.9°	305.7°	0.34
01:24	-6.1°	305.8°	0.34
01:25	-6.2°	306.0°	0.34
01:26	-6.3°	306.2°	0.34
01:27	-6.5°	306.4°	0.34
01:28	-6.6°	306.6°	0.34
01:29	-6.7°	306.8°	0.34
01:30	-6.9°	307.0°	0.34
01:31	-7.0°	307.1°	0.34
01:32	-7.1°	307.3°	0.34
01:33	-7.3°	307.5°	0.35
01:34	-7.4°	307.7°	0.35
01:35	-7.5°	307.9°	0.35
01:36	-7.7°	308.1°	0.35
01:37	-7.8°	308.3°	0.35
01:38	-7.9°	308.5°	0.35
01:39	-8.0°	308.7°	0.35
01:40	-8.2°	308.8°	0.35
01:41	-8.3°	309.0°	0.35
01:42	-8.4°	309.2°	0.35
01:43	-8.5°	309.4°	0.35
01:44	-8.7°	309.6°	0.35
01:45	-8.8°	309.8°	0.35
01:46	-8.9°	310.0°	0.35
01:47	-9.1°	310.2°	0.35
01:48	-9.2°	310.4°	0.35
01:49	-9.3°	310.6°	0.35
01:50	-9.4°	310.8°	0.35
01:51	-9.6°	311.0°	0.35
01:52	-9.7°	311.2°	0.35
01:53	-9.8°	311.4°	0.35
01:54	-9.9°	311.5°	0.35
01:55	-10.0°	311.7°	0.35
01:56	-10.2°	311.9°	0.35
01:57	-10.3°	312.1°	0.35
01:58	-10.4°	312.3°	0.35
01:59	-10.5°	312.5°	0.35
02:00	-10.7°	312.7°	0.35
02:01	-10.8°	312.9°	0.35
02:02	-10.9°	313.1°	0.35
02:03	-11.0°	313.3°	0.35
02:04	-11.1°	313.5°	0.35
02:05	-11.3°	313.7°	0.35
02:06	-11.4°	313.9°	0.35
02:07	-11.5°	314.1°	0.35
02:08	-11.6°	314.3°	0.35
02:09	-11.7°	314.5°	0.35
02:10	-11.8°	314.7°	0.35
02:11	-12.0°	314.9°	0.35
Object has dropped more than 12 degrees below the horizon			
08:53	-12.0°	48.0°	0.38
08:54	-11.8°	48.2°	0.38
08:55	-11.7°	48.4°	0.38
08:56	-11.6°	48.6°	0.38
08:57	-11.5°	48.8°	0.38
08:58	-11.4°	49.0°	0.38
08:59	-11.2°	49.2°	0.38
09:00	-11.1°	49.4°	0.38
09:01	-11.0°	49.6°	0.38
09:02	-10.9°	49.8°	0.38
09:03	-10.8°	50.0°	0.38
09:04	-10.7°	50.2°	0.38
09:05	-10.5°	50.4°	0.38
09:06	-10.4°	50.6°	0.38
09:07	-10.3°	50.8°	0.38
09:08	-10.2°	51.0°	0.38
09:09	-10.0°	51.2°	0.38
09:10	-9.9°	51.4°	0.38
09:11	-9.8°	51.6°	0.38
09:12	-9.7°	51.8°	0.38
09:13	-9.6°	52.0°	0.38
09:14	-9.4°	52.2°	0.38
09:15	-9.3°	52.4°	0.38
09:16	-9.2°	52.6°	0.38
09:17	-9.1°	52.8°	0.38
09:18	-8.9°	53.0°	0.38
09:19	-8.8°	53.2°	0.38
09:20	-8.7°	53.4°	0.38
09:21	-8.6°	53.6°	0.38
09:22	-8.4°	53.8°	0.38
09:23	-8.3°	54.0°	0.38
09:24	-8.2°	54.1°	0.38
09:25	-8.0°	54.3°	0.38
09:26	-7.9°	54.5°	0.38
09:27	-7.8°	54.7°	0.38
09:28	-7.7°	54.9°	0.38
09:29	-7.5°	55.1°	0.38
09:30	-7.4°	55.3°	0.38
09:31	-7.3°	55.5°	0.38
09:32	-7.1°	55.7°	0.38
09:33	-7.0°	55.9°	0.38
09:34	-6.9°	56.1°	0.38
09:35	-6.8°	56.3°	0.38
09:36	-6.6°	56.5°	0.38
09:37	-6.5°	56.6°	0.38
09:38	-6.4°	56.8°	0.38
09:39	-6.2°	57.0°	0.38
09:40	-6.1°	57.2°	0.38
09:41	-6.0°	57.4°	0.38
09:42	-5.8°	57.6°	0.38
09:43	-5.7°	57.8°	0.38
09:44	-5.6°	58.0°	0.38
09:45	-5.4°	58.2°	0.38
