Altitude and Azimuth of the Moon
N 48° 10', E 11° 30'
2026-05-31
Zone: 1.0 hours East of Greenwich
Time	Altitude	Azimuth (E of N)	Fraction Illuminated
00:00	14.9°	182.6°	1.00
00:01	14.9°	182.8°	1.00
00:02	14.9°	183.1°	1.00
00:03	14.9°	183.3°	1.00
00:04	14.9°	183.5°	1.00
00:05	14.9°	183.7°	1.00
00:06	14.9°	184.0°	1.00
00:07	14.9°	184.2°	1.00
00:08	14.8°	184.4°	1.00
00:09	14.8°	184.6°	1.00
00:10	14.8°	184.9°	1.00
00:11	14.8°	185.1°	1.00
00:12	14.8°	185.3°	1.00
00:13	14.8°	185.5°	1.00
00:14	14.7°	185.8°	1.00
00:15	14.7°	186.0°	1.00
00:16	14.7°	186.2°	1.00
00:17	14.7°	186.4°	1.00
00:18	14.7°	186.7°	1.00
00:19	14.6°	186.9°	1.00
00:20	14.6°	187.1°	1.00
00:21	14.6°	187.3°	1.00
00:22	14.6°	187.6°	1.00
00:23	14.6°	187.8°	1.00
00:24	14.5°	188.0°	1.00
00:25	14.5°	188.2°	1.00
00:26	14.5°	188.5°	1.00
00:27	14.5°	188.7°	1.00
00:28	14.4°	188.9°	1.00
00:29	14.4°	189.1°	1.00
00:30	14.4°	189.4°	1.00
00:31	14.4°	189.6°	1.00
00:32	14.3°	189.8°	1.00
00:33	14.3°	190.0°	1.00
00:34	14.3°	190.2°	1.00
00:35	14.2°	190.5°	1.00
00:36	14.2°	190.7°	1.00
00:37	14.2°	190.9°	1.00
00:38	14.1°	191.1°	1.00
00:39	14.1°	191.4°	1.00
00:40	14.1°	191.6°	1.00
00:41	14.0°	191.8°	1.00
00:42	14.0°	192.0°	1.00
00:43	14.0°	192.2°	1.00
00:44	13.9°	192.5°	1.00
00:45	13.9°	192.7°	1.00
00:46	13.9°	192.9°	1.00
00:47	13.8°	193.1°	1.00
00:48	13.8°	193.3°	1.00
00:49	13.7°	193.6°	1.00
00:50	13.7°	193.8°	1.00
00:51	13.7°	194.0°	1.00
00:52	13.6°	194.2°	1.00
