Altitude and Azimuth of the Moon
N 48° 10', E 11° 30'
2026-03-12
Zone: 1.0 hours East of Greenwich
Time	Altitude	Azimuth (E of N)	Fraction Illuminated
01:52	-12.0°	120.5°	0.44
01:53	-11.8°	120.7°	0.44
01:54	-11.7°	120.8°	0.44
01:55	-11.6°	121.0°	0.44
01:56	-11.4°	121.2°	0.44
01:57	-11.3°	121.3°	0.44
01:58	-11.2°	121.5°	0.44
01:59	-11.0°	121.7°	0.44
02:00	-10.9°	121.8°	0.44
02:01	-10.7°	122.0°	0.44
02:02	-10.6°	122.1°	0.44
02:03	-10.5°	122.3°	0.44
02:04	-10.3°	122.5°	0.44
02:05	-10.2°	122.6°	0.44
02:06	-10.1°	122.8°	0.44
02:07	-9.9°	123.0°	0.44
02:08	-9.8°	123.1°	0.44
02:09	-9.7°	123.3°	0.44
02:10	-9.5°	123.5°	0.44
02:11	-9.4°	123.6°	0.44
02:12	-9.3°	123.8°	0.44
02:13	-9.1°	124.0°	0.44
02:14	-9.0°	124.1°	0.44
02:15	-8.9°	124.3°	0.44
02:16	-8.7°	124.5°	0.44
02:17	-8.6°	124.6°	0.44
02:18	-8.5°	124.8°	0.44
02:19	-8.3°	125.0°	0.44
02:20	-8.2°	125.1°	0.44
02:21	-8.1°	125.3°	0.44
02:22	-7.9°	125.5°	0.44
02:23	-7.8°	125.6°	0.44
02:24	-7.7°	125.8°	0.44
02:25	-7.5°	126.0°	0.44
02:26	-7.4°	126.2°	0.44
02:27	-7.3°	126.3°	0.44
02:28	-7.2°	126.5°	0.44
02:29	-7.0°	126.7°	0.44
02:30	-6.9°	126.8°	0.44
02:31	-6.8°	127.0°	0.44
02:32	-6.6°	127.2°	0.44
02:33	-6.5°	127.3°	0.44
02:34	-6.4°	127.5°	0.44
02:35	-6.3°	127.7°	0.44
02:36	-6.1°	127.8°	0.44
02:37	-6.0°	128.0°	0.44
02:38	-5.9°	128.2°	0.44
02:39	-5.8°	128.4°	0.44
02:40	-5.6°	128.5°	0.44
02:41	-5.5°	128.7°	0.44
02:42	-5.4°	128.9°	0.44
02:43	-5.3°	129.0°	0.44
02:44	-5.1°	129.2°	0.44
02:45	-5.0°	129.4°	0.44
02:46	-4.9°	129.6°	0.44
02:47	-4.8°	129.7°	0.44
02:48	-4.6°	129.9°	0.44
02:49	-4.5°	130.1°	0.44
02:50	-4.4°	130.3°	0.44
02:51	-4.3°	130.4°	0.44
02:52	-4.1°	130.6°	0.44
02:53	-4.0°	130.8°	0.44
02:54	-3.9°	131.0°	0.44
02:55	-3.8°	131.1°	0.44
02:56	-3.7°	131.3°	0.44
02:57	-3.5°	131.5°	0.44
02:58	-3.4°	131.7°	0.44
02:59	-3.3°	131.8°	0.44
03:00	-3.2°	132.0°	0.44
03:01	-3.1°	132.2°	0.44
03:02	-2.9°	132.4°	0.44
03:03	-2.8°	132.5°	0.44
03:04	-2.7°	132.7°	0.44
03:05	-2.6°	132.9°	0.44
03:06	-2.5°	133.1°	0.44
03:07	-2.3°	133.2°	0.44
03:08	-2.2°	133.4°	0.44
03:09	-2.1°	133.6°	0.44
03:10	-2.0°	133.8°	0.44
03:11	-1.9°	133.9°	0.44
03:12	-1.8°	134.1°	0.44
03:13	-1.6°	134.3°	0.44
03:14	-1.5°	134.5°	0.44
03:15	-1.4°	134.7°	0.44
03:16	-1.3°	134.8°	0.44
03:17	-1.2°	135.0°	0.44
03:18	-1.1°	135.2°	0.44
03:19	-1.0°	135.4°	0.44
03:20	-0.8°	135.6°	0.44
03:21	-0.7°	135.7°	0.44
03:22	-0.0°	135.9°	0.44
03:23	0.1°	136.1°	0.44
03:24	0.1°	136.3°	0.44
03:25	0.2°	136.5°	0.44
03:26	0.3°	136.6°	0.44
03:27	0.4°	136.8°	0.44
03:28	0.5°	137.0°	0.43
03:29	0.6°	137.2°	0.43
03:30	0.7°	137.4°	0.43
03:31	0.8°	137.5°	0.43
03:32	0.9°	137.7°	0.43
03:33	1.0°	137.9°	0.43
03:34	1.1°	138.1°	0.43
03:35	1.2°	138.3°	0.43
03:36	1.3°	138.5°	0.43
03:37	1.4°	138.6°	0.43
03:38	1.5°	138.8°	0.43
03:39	1.6°	139.0°	0.43
03:40	1.7°	139.2°	0.43
03:41	1.8°	139.4°	0.43
03:42	1.9°	139.6°	0.43
03:43	2.0°	139.7°	0.43
03:44	2.1°	139.9°	0.43
03:45	2.1°	140.1°	0.43
03:46	2.2°	140.3°	0.43
03:47	2.3°	140.5°	0.43
03:48	2.4°	140.7°	0.43
03:49	2.5°	140.9°	0.43
03:50	2.6°	141.1°	0.43
03:51	2.7°	141.2°	0.43
03:52	2.8°	141.4°	0.43
03:53	2.9°	141.6°	0.43
03:54	3.0°	141.8°	0.43
03:55	3.1°	142.0°	0.43
03:56	3.2°	142.2°	0.43
03:57	3.3°	142.4°	0.43
03:58	3.4°	142.6°	0.43
03:59	3.5°	142.7°	0.43
04:00	3.6°	142.9°	0.43
04:01	3.7°	143.1°	0.43
04:02	3.8°	143.3°	0.43
04:03	3.9°	143.5°	0.43
04:04	3.9°	143.7°	0.43
04:05	4.0°	143.9°	0.43
04:06	4.1°	144.1°	0.43
04:07	4.2°	144.3°	0.43
