Altitude and Azimuth of the Moon
N 48° 10', E 11° 30'
2026-04-03
Zone: 1.0 hours East of Greenwich
Time	Altitude	Azimuth (E of N)	Fraction Illuminated
00:00	27.7°	166.3°	0.99
00:01	27.7°	166.6°	0.99
00:02	27.7°	166.9°	0.99
00:03	27.8°	167.1°	0.99
00:04	27.8°	167.4°	0.99
00:05	27.8°	167.7°	0.99
00:06	27.9°	167.9°	0.99
00:07	27.9°	168.2°	0.99
00:08	27.9°	168.5°	0.99
00:09	28.0°	168.7°	0.99
00:10	28.0°	169.0°	0.99
00:11	28.0°	169.3°	0.99
00:12	28.0°	169.5°	0.99
00:13	28.1°	169.8°	0.99
00:14	28.1°	170.1°	0.99
00:15	28.1°	170.3°	0.99
00:16	28.1°	170.6°	0.99
00:17	28.2°	170.9°	0.99
00:18	28.2°	171.2°	0.99
00:19	28.2°	171.4°	0.99
00:20	28.2°	171.7°	0.99
00:21	28.2°	172.0°	0.99
00:22	28.3°	172.2°	0.99
00:23	28.3°	172.5°	0.99
00:24	28.3°	172.8°	0.99
00:25	28.3°	173.0°	0.99
00:26	28.3°	173.3°	0.99
00:27	28.3°	173.6°	0.99
00:28	28.4°	173.9°	0.99
00:29	28.4°	174.1°	0.99
00:30	28.4°	174.4°	0.99
00:31	28.4°	174.7°	0.99
00:32	28.4°	174.9°	0.99
00:33	28.4°	175.2°	0.99
00:34	28.4°	175.5°	0.99
00:35	28.4°	175.8°	0.99
00:36	28.4°	176.0°	0.99
00:37	28.5°	176.3°	0.99
00:38	28.5°	176.6°	0.99
00:39	28.5°	176.8°	0.99
00:40	28.5°	177.1°	0.99
00:41	28.5°	177.4°	0.99
00:42	28.5°	177.7°	0.99
00:43	28.5°	177.9°	0.99
00:44	28.5°	178.2°	0.99
00:45	28.5°	178.5°	0.99
00:46	28.5°	178.7°	0.99
00:47	28.5°	179.0°	0.99
00:48	28.5°	179.3°	0.99
00:49	28.5°	179.6°	0.99
00:50	28.5°	179.8°	0.99
00:51	28.5°	180.1°	0.99
00:52	28.5°	180.4°	0.99
00:53	28.5°	180.6°	0.99
00:54	28.5°	180.9°	0.99
00:55	28.4°	181.2°	0.99
