Altitude and Azimuth of the Moon
N 48° 10', E 11° 30'
2026-04-06
Zone: 1.0 hours East of Greenwich
Time	Altitude	Azimuth (E of N)	Fraction Illuminated
00:00	5.4°	139.4°	0.86
00:01	5.5°	139.6°	0.86
00:02	5.6°	139.8°	0.86
00:03	5.7°	140.0°	0.86
00:04	5.8°	140.2°	0.86
00:05	5.9°	140.4°	0.86
00:06	6.0°	140.6°	0.86
00:07	6.1°	140.8°	0.86
00:08	6.2°	141.0°	0.86
00:09	6.3°	141.2°	0.86
00:10	6.4°	141.4°	0.86
00:11	6.5°	141.6°	0.86
00:12	6.6°	141.8°	0.86
00:13	6.7°	141.9°	0.86
00:14	6.8°	142.1°	0.86
00:15	6.9°	142.3°	0.86
00:16	7.0°	142.5°	0.86
00:17	7.1°	142.7°	0.86
00:18	7.2°	142.9°	0.86
00:19	7.2°	143.1°	0.86
00:20	7.3°	143.3°	0.86
00:21	7.4°	143.5°	0.86
00:22	7.5°	143.7°	0.86
00:23	7.6°	143.9°	0.86
00:24	7.7°	144.1°	0.86
00:25	7.8°	144.3°	0.86
00:26	7.9°	144.5°	0.86
00:27	8.0°	144.7°	0.86
00:28	8.1°	144.9°	0.86
00:29	8.2°	145.1°	0.86
00:30	8.3°	145.3°	0.86
00:31	8.3°	145.5°	0.86
00:32	8.4°	145.8°	0.86
00:33	8.5°	146.0°	0.86
00:34	8.6°	146.2°	0.86
00:35	8.7°	146.4°	0.86
00:36	8.8°	146.6°	0.86
00:37	8.9°	146.8°	0.86
00:38	9.0°	147.0°	0.86
00:39	9.0°	147.2°	0.86
00:40	9.1°	147.4°	0.86
00:41	9.2°	147.6°	0.86
00:42	9.3°	147.8°	0.86
00:43	9.4°	148.0°	0.86
00:44	9.5°	148.2°	0.86
00:45	9.5°	148.4°	0.86
00:46	9.6°	148.6°	0.86
00:47	9.7°	148.8°	0.86
00:48	9.8°	149.0°	0.86
00:49	9.9°	149.2°	0.86
00:50	9.9°	149.4°	0.86
00:51	10.0°	149.6°	0.86
00:52	10.1°	149.9°	0.86
00:53	10.2°	150.1°	0.86
00:54	10.3°	150.3°	0.86
00:55	10.3°	150.5°	0.86
00:56	10.4°	150.7°	0.86
00:57	10.5°	150.9°	0.86
00:58	10.6°	151.1°	0.86
00:59	10.6°	151.3°	0.86
01:00	10.7°	151.5°	0.86
01:01	10.8°	151.7°	0.86
01:02	10.9°	151.9°	0.86
01:03	10.9°	152.2°	0.86
01:04	11.0°	152.4°	0.86
01:05	11.1°	152.6°	0.86
01:06	11.2°	152.8°	0.86
01:07	11.2°	153.0°	0.86
01:08	11.3°	153.2°	0.86
01:09	11.4°	153.4°	0.86
01:10	11.4°	153.6°	0.86
01:11	11.5°	153.8°	0.86
01:12	11.6°	154.1°	0.86
01:13	11.6°	154.3°	0.86
01:14	11.7°	154.5°	0.86
01:15	11.8°	154.7°	0.86
01:16	11.8°	154.9°	0.86
01:17	11.9°	155.1°	0.86
01:18	12.0°	155.3°	0.86
01:19	12.0°	155.6°	0.86
01:20	12.1°	155.8°	0.86
