Altitude and Azimuth of the Moon
N 48° 10', E 11° 30'
2026-04-04
Zone: 1.0 hours East of Greenwich
Time	Altitude	Azimuth (E of N)	Fraction Illuminated
00:00	20.4°	156.5°	0.96
00:01	20.5°	156.7°	0.96
00:02	20.6°	157.0°	0.96
00:03	20.6°	157.2°	0.96
00:04	20.7°	157.4°	0.96
00:05	20.7°	157.7°	0.96
00:06	20.8°	157.9°	0.96
00:07	20.8°	158.2°	0.96
00:08	20.9°	158.4°	0.96
00:09	21.0°	158.6°	0.96
00:10	21.0°	158.9°	0.96
00:11	21.1°	159.1°	0.96
00:12	21.1°	159.4°	0.96
00:13	21.2°	159.6°	0.96
00:14	21.2°	159.9°	0.96
00:15	21.3°	160.1°	0.96
00:16	21.3°	160.3°	0.96
00:17	21.4°	160.6°	0.96
00:18	21.4°	160.8°	0.96
00:19	21.5°	161.1°	0.96
00:20	21.5°	161.3°	0.96
00:21	21.6°	161.6°	0.96
00:22	21.6°	161.8°	0.96
00:23	21.7°	162.1°	0.96
00:24	21.7°	162.3°	0.96
00:25	21.8°	162.5°	0.96
00:26	21.8°	162.8°	0.96
00:27	21.9°	163.0°	0.96
00:28	21.9°	163.3°	0.96
00:29	22.0°	163.5°	0.96
00:30	22.0°	163.8°	0.96
00:31	22.0°	164.0°	0.96
00:32	22.1°	164.3°	0.96
00:33	22.1°	164.5°	0.96
00:34	22.2°	164.8°	0.96
00:35	22.2°	165.0°	0.96
00:36	22.2°	165.3°	0.96
00:37	22.3°	165.5°	0.96
00:38	22.3°	165.8°	0.96
00:39	22.3°	166.0°	0.96
00:40	22.4°	166.3°	0.96
00:41	22.4°	166.5°	0.96
00:42	22.5°	166.8°	0.96
00:43	22.5°	167.0°	0.96
00:44	22.5°	167.2°	0.96
00:45	22.5°	167.5°	0.96
00:46	22.6°	167.7°	0.96
00:47	22.6°	168.0°	0.96
00:48	22.6°	168.2°	0.96
00:49	22.7°	168.5°	0.96
00:50	22.7°	168.7°	0.96
00:51	22.7°	169.0°	0.96
00:52	22.8°	169.2°	0.96
00:53	22.8°	169.5°	0.96
00:54	22.8°	169.7°	0.96
00:55	22.8°	170.0°	0.96
00:56	22.9°	170.3°	0.96
00:57	22.9°	170.5°	0.96
00:58	22.9°	170.8°	0.96
00:59	22.9°	171.0°	0.96
01:00	22.9°	171.3°	0.96
01:01	23.0°	171.5°	0.96
01:02	23.0°	171.8°	0.96
01:03	23.0°	172.0°	0.96
01:04	23.0°	172.3°	0.96
01:05	23.0°	172.5°	0.96
01:06	23.1°	172.8°	0.96
01:07	23.1°	173.0°	0.96
01:08	23.1°	173.3°	0.96
01:09	23.1°	173.5°	0.96
01:10	23.1°	173.8°	0.96
01:11	23.1°	174.0°	0.96
01:12	23.2°	174.3°	0.96
01:13	23.2°	174.5°	0.96
01:14	23.2°	174.8°	0.96
01:15	23.2°	175.0°	0.96
01:16	23.2°	175.3°	0.96
01:17	23.2°	175.5°	0.96
01:18	23.2°	175.8°	0.96
01:19	23.2°	176.0°	0.96
01:20	23.2°	176.3°	0.96
01:21	23.2°	176.6°	0.96
01:22	23.3°	176.8°	0.96
01:23	23.3°	177.1°	0.96
01:24	23.3°	177.3°	0.96
01:25	23.3°	177.6°	0.96
01:26	23.3°	177.8°	0.96
01:27	23.3°	178.1°	0.96
01:28	23.3°	178.3°	0.96
01:29	23.3°	178.6°	0.96
01:30	23.3°	178.8°	0.96
01:31	23.3°	179.1°	0.96
01:32	23.3°	179.3°	0.96
01:33	23.3°	179.6°	0.96
01:34	23.3°	179.8°	0.96
01:35	23.3°	180.1°	0.96
01:36	23.3°	180.3°	0.96
01:37	23.3°	180.6°	0.96
01:38	23.3°	180.9°	0.96
01:39	23.2°	181.1°	0.96
01:40	23.2°	181.4°	0.96
01:41	23.2°	181.6°	0.96
01:42	23.2°	181.9°	0.96
01:43	23.2°	182.1°	0.96
01:44	23.2°	182.4°	0.96
01:45	23.2°	182.6°	0.96
01:46	23.2°	182.9°	0.96
01:47	23.2°	183.1°	0.96
01:48	23.2°	183.4°	0.96
01:49	23.1°	183.6°	0.96
01:50	23.1°	183.9°	0.96
01:51	23.1°	184.1°	0.96
01:52	23.1°	184.4°	0.96
01:53	23.1°	184.6°	0.96
01:54	23.1°	184.9°	0.96
01:55	23.1°	185.1°	0.96
01:56	23.0°	185.4°	0.96
01:57	23.0°	185.6°	0.96
01:58	23.0°	185.9°	0.96
01:59	23.0°	186.1°	0.96
02:00	23.0°	186.4°	0.96
02:01	22.9°	186.6°	0.96
02:02	22.9°	186.9°	0.96
02:03	22.9°	187.2°	0.96
02:04	22.9°	187.4°	0.96
02:05	22.8°	187.7°	0.96
02:06	22.8°	187.9°	0.96
02:07	22.8°	188.2°	0.96
02:08	22.8°	188.4°	0.96
02:09	22.7°	188.7°	0.96
02:10	22.7°	188.9°	0.96
02:11	22.7°	189.2°	0.96
02:12	22.6°	189.4°	0.96
02:13	22.6°	189.7°	0.96
02:14	22.6°	189.9°	0.96
02:15	22.6°	190.1°	0.96
02:16	22.5°	190.4°	0.96
02:17	22.5°	190.6°	0.96
02:18	22.5°	190.9°	0.96
02:19	22.4°	191.1°	0.96
02:20	22.4°	191.4°	0.96
02:21	22.4°	191.6°	0.96
02:22	22.3°	191.9°	0.96
02:23	22.3°	192.1°	0.96
02:24	22.2°	192.4°	0.96
02:25	22.2°	192.6°	0.96
02:26	22.2°	192.9°	0.96
02:27	22.1°	193.1°	0.96
02:28	22.1°	193.4°	0.96
02:29	22.0°	193.6°	0.96
02:30	22.0°	193.9°	0.96
02:31	22.0°	194.1°	0.96
02:32	21.9°	194.4°	0.96
02:33	21.9°	194.6°	0.96
02:34	21.8°	194.8°	0.96
02:35	21.8°	195.1°	0.96
02:36	21.7°	195.3°	0.96
02:37	21.7°	195.6°	0.96
02:38	21.6°	195.8°	0.96
02:39	21.6°	196.1°	0.96
02:40	21.5°	196.3°	0.96
02:41	21.5°	196.6°	0.96
02:42	21.4°	196.8°	0.96
02:43	21.4°	197.0°	0.96
02:44	21.3°	197.3°	0.96
02:45	21.3°	197.5°	0.96
02:46	21.2°	197.8°	0.96
02:47	21.2°	198.0°	0.96
02:48	21.1°	198.3°	0.96
02:49	21.1°	198.5°	0.96
02:50	21.0°	198.7°	0.96
02:51	21.0°	199.0°	0.96
02:52	20.9°	199.2°	0.96
02:53	20.9°	199.5°	0.96
02:54	20.8°	199.7°	0.96
02:55	20.7°	199.9°	0.96
02:56	20.7°	200.2°	0.96
02:57	20.6°	200.4°	0.96
02:58	20.6°	200.7°	0.96
02:59	20.5°	200.9°	0.96
03:00	20.4°	201.1°	0.96
03:01	20.4°	201.4°	0.96
03:02	20.3°	201.6°	0.96
03:03	20.3°	201.8°	0.96
03:04	20.2°	202.1°	0.96
03:05	20.1°	202.3°	0.96
03:06	20.1°	202.6°	0.96
03:07	20.0°	202.8°	0.96
03:08	19.9°	203.0°	0.96
03:09	19.9°	203.3°	0.96
03:10	19.8°	203.5°	0.96
03:11	19.7°	203.7°	0.96
03:12	19.7°	204.0°	0.96
03:13	19.6°	204.2°	0.96
03:14	19.5°	204.4°	0.96
03:15	19.4°	204.7°	0.96
03:16	19.4°	204.9°	0.96
03:17	19.3°	205.1°	0.96
03:18	19.2°	205.4°	0.96
03:19	19.2°	205.6°	0.96
03:20	19.1°	205.8°	0.96
03:21	19.0°	206.1°	0.96
03:22	18.9°	206.3°	0.96
03:23	18.9°	206.5°	0.96
03:24	18.8°	206.8°	0.96
03:25	18.7°	207.0°	0.96
03:26	18.6°	207.2°	0.96
03:27	18.6°	207.5°	0.96
03:28	18.5°	207.7°	0.96
03:29	18.4°	207.9°	0.96
03:30	18.3°	208.2°	0.96
03:31	18.2°	208.4°	0.96
03:32	18.2°	208.6°	0.96
03:33	18.1°	208.8°	0.96
03:34	18.0°	209.1°	0.96
03:35	17.9°	209.3°	0.96
03:36	17.8°	209.5°	0.96
03:37	17.8°	209.7°	0.96
03:38	17.7°	210.0°	0.96
03:39	17.6°	210.2°	0.96
03:40	17.5°	210.4°	0.96
03:41	17.4°	210.6°	0.96
