Altitude and Azimuth of the Moon
N 48° 10', E 11° 30'
2026-06-01
Zone: 1.0 hours East of Greenwich
Time	Altitude	Azimuth (E of N)	Fraction Illuminated
00:00	12.9°	171.5°	1.00
00:01	12.9°	171.7°	1.00
00:02	13.0°	171.9°	1.00
00:03	13.0°	172.1°	1.00
00:04	13.0°	172.3°	1.00
00:05	13.0°	172.6°	1.00
00:06	13.1°	172.8°	0.99
00:07	13.1°	173.0°	0.99
00:08	13.1°	173.2°	0.99
00:09	13.1°	173.4°	0.99
00:10	13.1°	173.7°	0.99
00:11	13.1°	173.9°	0.99
00:12	13.2°	174.1°	0.99
00:13	13.2°	174.3°	0.99
00:14	13.2°	174.5°	0.99
00:15	13.2°	174.7°	0.99
00:16	13.2°	175.0°	0.99
00:17	13.2°	175.2°	0.99
00:18	13.2°	175.4°	0.99
00:19	13.3°	175.6°	0.99
00:20	13.3°	175.9°	0.99
00:21	13.3°	176.1°	0.99
00:22	13.3°	176.3°	0.99
00:23	13.3°	176.5°	0.99
00:24	13.3°	176.7°	0.99
00:25	13.3°	177.0°	0.99
00:26	13.3°	177.2°	0.99
00:27	13.3°	177.4°	0.99
00:28	13.3°	177.6°	0.99
00:29	13.3°	177.8°	0.99
00:30	13.3°	178.1°	0.99
00:31	13.4°	178.3°	0.99
00:32	13.4°	178.5°	0.99
00:33	13.4°	178.7°	0.99
00:34	13.4°	178.9°	0.99
00:35	13.4°	179.2°	0.99
00:36	13.4°	179.4°	0.99
00:37	13.4°	179.6°	0.99
00:38	13.4°	179.8°	0.99
00:39	13.4°	180.0°	0.99
00:40	13.4°	180.3°	0.99
00:41	13.4°	180.5°	0.99
00:42	13.4°	180.7°	0.99
00:43	13.4°	180.9°	0.99
00:44	13.4°	181.1°	0.99
00:45	13.3°	181.4°	0.99
00:46	13.3°	181.6°	0.99
00:47	13.3°	181.8°	0.99
00:48	13.3°	182.0°	0.99
00:49	13.3°	182.2°	0.99
00:50	13.3°	182.5°	0.99
00:51	13.3°	182.7°	0.99
00:52	13.3°	182.9°	0.99
00:53	13.3°	183.1°	0.99
00:54	13.3°	183.3°	0.99
00:55	13.3°	183.6°	0.99
00:56	13.3°	183.8°	0.99
00:57	13.3°	184.0°	0.99
00:58	13.2°	184.2°	0.99
00:59	13.2°	184.4°	0.99
01:00	13.2°	184.7°	0.99
01:01	13.2°	184.9°	0.99
01:02	13.2°	185.1°	0.99
01:03	13.2°	185.3°	0.99
01:04	13.2°	185.5°	0.99
01:05	13.1°	185.8°	0.99
01:06	13.1°	186.0°	0.99
01:07	13.1°	186.2°	0.99
01:08	13.1°	186.4°	0.99
01:09	13.1°	186.6°	0.99
01:10	13.0°	186.9°	0.99
01:11	13.0°	187.1°	0.99
01:12	13.0°	187.3°	0.99
01:13	13.0°	187.5°	0.99
01:14	13.0°	187.7°	0.99
01:15	12.9°	188.0°	0.99
01:16	12.9°	188.2°	0.99
01:17	12.9°	188.4°	0.99
01:18	12.9°	188.6°	0.99
01:19	12.8°	188.8°	0.99
01:20	12.8°	189.1°	0.99
01:21	12.8°	189.3°	0.99
01:22	12.8°	189.5°	0.99
01:23	12.7°	189.7°	0.99
01:24	12.7°	189.9°	0.99
01:25	12.7°	190.1°	0.99
01:26	12.7°	190.4°	0.99
01:27	12.6°	190.6°	0.99
01:28	12.6°	190.8°	0.99
01:29	12.6°	191.0°	0.99
01:30	12.5°	191.2°	0.99
01:31	12.5°	191.4°	0.99
01:32	12.5°	191.7°	0.99
01:33	12.4°	191.9°	0.99
01:34	12.4°	192.1°	0.99
01:35	12.4°	192.3°	0.99
01:36	12.3°	192.5°	0.99
01:37	12.3°	192.7°	0.99
01:38	12.3°	193.0°	0.99
01:39	12.2°	193.2°	0.99
01:40	12.2°	193.4°	0.99
01:41	12.1°	193.6°	0.99
01:42	12.1°	193.8°	0.99
01:43	12.1°	194.0°	0.99
01:44	12.0°	194.3°	0.99
01:45	12.0°	194.5°	0.99
01:46	11.9°	194.7°	0.99
01:47	11.9°	194.9°	0.99
01:48	11.9°	195.1°	0.99
01:49	11.8°	195.3°	0.99
01:50	11.8°	195.5°	0.99
01:51	11.7°	195.8°	0.99
01:52	11.7°	196.0°	0.99
01:53	11.6°	196.2°	0.99
01:54	11.6°	196.4°	0.99
01:55	11.5°	196.6°	0.99
01:56	11.5°	196.8°	0.99
01:57	11.5°	197.0°	0.99
01:58	11.4°	197.3°	0.99
01:59	11.4°	197.5°	0.99
02:00	11.3°	197.7°	0.99
02:01	11.3°	197.9°	0.99
02:02	11.2°	198.1°	0.99
02:03	11.2°	198.3°	0.99
02:04	11.1°	198.5°	0.99
02:05	11.1°	198.7°	0.99
02:06	11.0°	199.0°	0.99
02:07	10.9°	199.2°	0.99
02:08	10.9°	199.4°	0.99
02:09	10.8°	199.6°	0.99
02:10	10.8°	199.8°	0.99
02:11	10.7°	200.0°	0.99
02:12	10.7°	200.2°	0.99
02:13	10.6°	200.4°	0.99
02:14	10.6°	200.6°	0.99
02:15	10.5°	200.9°	0.99
02:16	10.4°	201.1°	0.99
02:17	10.4°	201.3°	0.99
02:18	10.3°	201.5°	0.99
02:19	10.3°	201.7°	0.99
02:20	10.2°	201.9°	0.99
02:21	10.2°	202.1°	0.99
02:22	10.1°	202.3°	0.99
02:23	10.0°	202.5°	0.99
02:24	10.0°	202.7°	0.99
02:25	9.9°	202.9°	0.99
02:26	9.8°	203.1°	0.99
02:27	9.8°	203.4°	0.99
02:28	9.7°	203.6°	0.99
02:29	9.6°	203.8°	0.99
02:30	9.6°	204.0°	0.99
02:31	9.5°	204.2°	0.99
02:32	9.4°	204.4°	0.99
02:33	9.4°	204.6°	0.99
02:34	9.3°	204.8°	0.99
02:35	9.2°	205.0°	0.99
02:36	9.2°	205.2°	0.99
02:37	9.1°	205.4°	0.99
02:38	9.0°	205.6°	0.99
02:39	9.0°	205.8°	0.99
02:40	8.9°	206.0°	0.99
02:41	8.8°	206.2°	0.99
02:42	8.8°	206.4°	0.99
02:43	8.7°	206.6°	0.99
02:44	8.6°	206.8°	0.99
02:45	8.5°	207.0°	0.99
02:46	8.5°	207.3°	0.99
02:47	8.4°	207.5°	0.99
02:48	8.3°	207.7°	0.99
02:49	8.2°	207.9°	0.99
02:50	8.2°	208.1°	0.99
02:51	8.1°	208.3°	0.99
02:52	8.0°	208.5°	0.99
02:53	7.9°	208.7°	0.99
02:54	7.9°	208.9°	0.99
02:55	7.8°	209.1°	0.99
02:56	7.7°	209.3°	0.99
02:57	7.6°	209.5°	0.99
02:58	7.5°	209.7°	0.99
02:59	7.5°	209.9°	0.99
