Altitude and Azimuth of the Moon
N 48° 10', E 11° 30'
2026-04-13
Zone: 1.0 hours East of Greenwich
Time	Altitude	Azimuth (E of N)	Fraction Illuminated
02:39	-12.0°	98.5°	0.23
02:40	-11.8°	98.7°	0.23
02:41	-11.6°	98.8°	0.23
02:42	-11.5°	99.0°	0.23
02:43	-11.3°	99.2°	0.23
02:44	-11.2°	99.4°	0.23
02:45	-11.0°	99.5°	0.23
02:46	-10.8°	99.7°	0.23
02:47	-10.7°	99.9°	0.23
02:48	-10.5°	100.0°	0.23
02:49	-10.3°	100.2°	0.23
02:50	-10.2°	100.4°	0.23
02:51	-10.0°	100.6°	0.23
02:52	-9.9°	100.7°	0.23
02:53	-9.7°	100.9°	0.23
02:54	-9.5°	101.1°	0.23
02:55	-9.4°	101.3°	0.23
02:56	-9.2°	101.4°	0.23
02:57	-9.1°	101.6°	0.23
02:58	-8.9°	101.8°	0.23
02:59	-8.7°	102.0°	0.23
03:00	-8.6°	102.1°	0.23
03:01	-8.4°	102.3°	0.23
03:02	-8.3°	102.5°	0.23
03:03	-8.1°	102.6°	0.23
03:04	-7.9°	102.8°	0.23
03:05	-7.8°	103.0°	0.23
03:06	-7.6°	103.2°	0.23
03:07	-7.5°	103.3°	0.23
03:08	-7.3°	103.5°	0.23
03:09	-7.1°	103.7°	0.23
03:10	-7.0°	103.9°	0.23
03:11	-6.8°	104.0°	0.23
03:12	-6.7°	104.2°	0.23
03:13	-6.5°	104.4°	0.23
03:14	-6.3°	104.6°	0.23
03:15	-6.2°	104.7°	0.23
03:16	-6.0°	104.9°	0.23
03:17	-5.9°	105.1°	0.23
03:18	-5.7°	105.3°	0.23
03:19	-5.5°	105.4°	0.23
03:20	-5.4°	105.6°	0.23
03:21	-5.2°	105.8°	0.23
03:22	-5.1°	106.0°	0.23
03:23	-4.9°	106.1°	0.23
03:24	-4.8°	106.3°	0.23
03:25	-4.6°	106.5°	0.23
03:26	-4.4°	106.7°	0.23
03:27	-4.3°	106.8°	0.23
03:28	-4.1°	107.0°	0.23
03:29	-4.0°	107.2°	0.23
03:30	-3.8°	107.4°	0.23
03:31	-3.7°	107.5°	0.23
03:32	-3.5°	107.7°	0.23
03:33	-3.3°	107.9°	0.23
03:34	-3.2°	108.1°	0.23
03:35	-3.0°	108.2°	0.23
03:36	-2.9°	108.4°	0.23
03:37	-2.7°	108.6°	0.23
03:38	-2.6°	108.8°	0.23
03:39	-2.4°	108.9°	0.23
03:40	-2.3°	109.1°	0.23
03:41	-2.1°	109.3°	0.23
03:42	-1.9°	109.5°	0.23
03:43	-1.8°	109.6°	0.23
03:44	-1.6°	109.8°	0.23
03:45	-1.5°	110.0°	0.23
03:46	-1.3°	110.2°	0.23
03:47	-1.2°	110.4°	0.23
03:48	-1.0°	110.5°	0.23
03:49	-0.9°	110.7°	0.23
03:50	-0.1°	110.9°	0.22
03:51	0.0°	111.1°	0.22
03:52	0.1°	111.2°	0.22
03:53	0.3°	111.4°	0.22
03:54	0.4°	111.6°	0.22
03:55	0.5°	111.8°	0.22
03:56	0.7°	112.0°	0.22
03:57	0.8°	112.1°	0.22
03:58	0.9°	112.3°	0.22
03:59	1.1°	112.5°	0.22
04:00	1.2°	112.7°	0.22
04:01	1.3°	112.9°	0.22
04:02	1.5°	113.0°	0.22
04:03	1.6°	113.2°	0.22
04:04	1.8°	113.4°	0.22
04:05	1.9°	113.6°	0.22
04:06	2.0°	113.8°	0.22
04:07	2.2°	113.9°	0.22
04:08	2.3°	114.1°	0.22
04:09	2.5°	114.3°	0.22
04:10	2.6°	114.5°	0.22
04:11	2.7°	114.7°	0.22
04:12	2.9°	114.9°	0.22
04:13	3.0°	115.0°	0.22
04:14	3.2°	115.2°	0.22
04:15	3.3°	115.4°	0.22
04:16	3.4°	115.6°	0.22
04:17	3.6°	115.8°	0.22
04:18	3.7°	116.0°	0.22
04:19	3.9°	116.1°	0.22
04:20	4.0°	116.3°	0.22
04:21	4.2°	116.5°	0.22
04:22	4.3°	116.7°	0.22
04:23	4.4°	116.9°	0.22
04:24	4.6°	117.1°	0.22
04:25	4.7°	117.2°	0.22
04:26	4.9°	117.4°	0.22
04:27	5.0°	117.6°	0.22
04:28	5.2°	117.8°	0.22
04:29	5.3°	118.0°	0.22
04:30	5.4°	118.2°	0.22
04:31	5.6°	118.4°	0.22
04:32	5.7°	118.5°	0.22
04:33	5.9°	118.7°	0.22
04:34	6.0°	118.9°	0.22
04:35	6.2°	119.1°	0.22
04:36	6.3°	119.3°	0.22
04:37	6.4°	119.5°	0.22
04:38	6.6°	119.7°	0.22
04:39	6.7°	119.9°	0.22
04:40	6.9°	120.1°	0.22
04:41	7.0°	120.2°	0.22
04:42	7.1°	120.4°	0.22
04:43	7.3°	120.6°	0.22
04:44	7.4°	120.8°	0.22
04:45	7.6°	121.0°	0.22
04:46	7.7°	121.2°	0.22
04:47	7.8°	121.4°	0.22
04:48	8.0°	121.6°	0.22
04:49	8.1°	121.8°	0.22
04:50	8.3°	122.0°	0.22
04:51	8.4°	122.2°	0.22
04:52	8.5°	122.3°	0.22
04:53	8.7°	122.5°	0.22
04:54	8.8°	122.7°	0.22
04:55	9.0°	122.9°	0.22
04:56	9.1°	123.1°	0.22
04:57	9.2°	123.3°	0.22
04:58	9.4°	123.5°	0.22
04:59	9.5°	123.7°	0.22
05:00	9.6°	123.9°	0.22
05:01	9.8°	124.1°	0.22
05:02	9.9°	124.3°	0.22
05:03	10.1°	124.5°	0.22
05:04	10.2°	124.7°	0.22
05:05	10.3°	124.9°	0.22
05:06	10.5°	125.1°	0.22
05:07	10.6°	125.3°	0.22
05:08	10.7°	125.5°	0.22
05:09	10.9°	125.7°	0.22
05:10	11.0°	125.9°	0.22
05:11	11.1°	126.1°	0.22
05:12	11.3°	126.3°	0.22
05:13	11.4°	126.5°	0.22
05:14	11.5°	126.7°	0.22
05:15	11.7°	126.9°	0.22
05:16	11.8°	127.1°	0.22
05:17	11.9°	127.3°	0.22
05:18	12.1°	127.5°	0.22
05:19	12.2°	127.7°	0.22
05:20	12.3°	127.9°	0.22
05:21	12.4°	128.1°	0.22
05:22	12.6°	128.3°	0.22
05:23	12.7°	128.5°	0.22
05:24	12.8°	128.7°	0.22
05:25	13.0°	128.9°	0.22
05:26	13.1°	129.1°	0.22
05:27	13.2°	129.3°	0.22
05:28	13.3°	129.5°	0.22
05:29	13.5°	129.7°	0.22
05:30	13.6°	129.9°	0.22
05:31	13.7°	130.1°	0.22
05:32	13.9°	130.3°	0.22
05:33	14.0°	130.5°	0.22
05:34	14.1°	130.7°	0.22
05:35	14.2°	130.9°	0.22
05:36	14.4°	131.1°	0.22
05:37	14.5°	131.3°	0.22
05:38	14.6°	131.5°	0.22
05:39	14.7°	131.8°	0.22
05:40	14.9°	132.0°	0.22
05:41	15.0°	132.2°	0.22
05:42	15.1°	132.4°	0.22
05:43	15.2°	132.6°	0.22
05:44	15.3°	132.8°	0.22
05:45	15.5°	133.0°	0.22
05:46	15.6°	133.2°	0.22
05:47	15.7°	133.4°	0.22
05:48	15.8°	133.6°	0.22
05:49	16.0°	133.9°	0.22
05:50	16.1°	134.1°	0.22
05:51	16.2°	134.3°	0.22
05:52	16.3°	134.5°	0.22
05:53	16.4°	134.7°	0.22
05:54	16.5°	134.9°	0.22
05:55	16.7°	135.1°	0.22
05:56	16.8°	135.4°	0.22
05:57	16.9°	135.6°	0.22
05:58	17.0°	135.8°	0.22
05:59	17.1°	136.0°	0.22
06:00	17.2°	136.2°	0.22
06:01	17.4°	136.4°	0.22
06:02	17.5°	136.6°	0.22
06:03	17.6°	136.9°	0.22
06:04	17.7°	137.1°	0.22
06:05	17.8°	137.3°	0.22
06:06	17.9°	137.5°	0.22
06:07	18.0°	137.7°	0.22
06:08	18.2°	138.0°	0.22
06:09	18.3°	138.2°	0.22
06:10	18.4°	138.4°	0.22
06:11	18.5°	138.6°	0.22
06:12	18.6°	138.8°	0.22
06:13	18.7°	139.1°	0.22
06:14	18.8°	139.3°	0.22
06:15	18.9°	139.5°	0.22
06:16	19.0°	139.7°	0.22
06:17	19.1°	140.0°	0.22
06:18	19.3°	140.2°	0.22
06:19	19.4°	140.4°	0.22
06:20	19.5°	140.6°	0.22
06:21	19.6°	140.9°	0.22
06:22	19.7°	141.1°	0.22
06:23	19.8°	141.3°	0.22
06:24	19.9°	141.5°	0.22
06:25	20.0°	141.8°	0.22
06:26	20.1°	142.0°	0.22
06:27	20.2°	142.2°	0.22
06:28	20.3°	142.4°	0.22
06:29	20.4°	142.7°	0.22
06:30	20.5°	142.9°	0.22
06:31	20.6°	143.1°	0.22
06:32	20.7°	143.4°	0.22
06:33	20.8°	143.6°	0.22
06:34	20.9°	143.8°	0.22
06:35	21.0°	144.1°	0.21
06:36	21.1°	144.3°	0.21
06:37	21.2°	144.5°	0.21
06:38	21.3°	144.7°	0.21
06:39	21.4°	145.0°	0.21
06:40	21.5°	145.2°	0.21
